"name","fgapg","fgpct","fgpg","ftapg","ftpct","games","height","pfpg","ptspg","sospg","trbpg"
"Cameron Bairstow",6,0.517,3.1,4.2,0.717,134,6.9,2.1,9.2,4.93,4.8
"Cameron Johnson",8.4,0.457,3.8,2,0.817,135,6.9,1.8,11.2,10.06,4.1
"Cameron McGriff",6.8,0.427,2.9,3.3,0.802,132,6.7,2.4,9.2,10.84,5.6
"Cameron Oliver",11.4,0.486,5.5,3.6,0.678,73,6.8,3,14.7,1.91,8.9
"Cameron Payne",14.6,0.432,6.3,4.7,0.781,69,6.2,2.4,18.5,-3.19,3.7
"Cameron Reynolds",9.3,0.387,3.6,2.1,0.716,135,6.7,2.2,10.1,1.74,4.5
"Cameron Thomas",17.2,0.406,7,7.6,0.882,29,6.4,1.4,23,9.14,3.4
"Campy Russell",18.5,0.456,8.5,5.7,0.753,51,6.8,3.3,21.2,6.47,10.4
"Carey Scurry",12.9,0.538,6.9,5.6,0.709,79,6.7,NULL,17.9,-6.97,12.8
"Caris LeVert",8.2,0.434,3.6,2.6,0.77,103,6.7,1.5,10.4,9.3,3.5
"Carl Henry",12.2,0.522,6.4,4.6,0.712,118,6.6,2.6,16,2.61,7.5
"Carl Herrera",10.1,0.565,5.7,6.5,0.804,33,6.9,2.8,16.7,4.4,9.2
"Carl Kilpatrick",7.9,0.471,3.7,1.7,0.577,79,6.1,3.1,8.5,-6.69,6.8
"Carl Landry",10.5,0.602,6.3,7.9,0.714,64,6.9,3,18.4,8.86,7.1
"Carl Nicks",14.5,0.449,6.5,5.3,0.714,85,6.1,1.3,16.8,0.23,3
"Carl Thomas",7.7,0.475,3.7,2,0.753,113,6.4,2.5,10.4,0.6,4
"Carldell Johnson",4.8,0.405,2,1.1,0.716,96,5.1,2.2,5.7,3.99,2.3
"Carlik Jones",12.5,0.447,5.6,4.6,0.79,118,6.1,1.7,15.9,-0.71,4.7
"Carlos Arroyo",12.6,0.445,5.6,4.3,0.703,100,6.2,NULL,16,-1.88,3
"Carlos Boozer",8.7,0.631,5.5,5.3,0.741,101,6.9,2.9,14.9,10,7.2
"Carlos Clark",11,0.547,6,4.3,0.791,118,6.4,2.8,15.4,7.78,3.9
"Carlos Rogers",12.4,0.603,7.5,6.5,0.629,79,6.1,3.2,19.1,-4.07,10.5
"Carlton McKinney",10.1,0.477,4.8,1.3,0.712,116,6.4,2,11.2,2.18,3.8
"Carmelo Anthony",17.5,0.453,7.9,6.8,0.706,35,6.8,2.2,22.2,9.02,10
"Caron Butler",13.8,0.465,6.4,5.9,0.768,63,6.7,2.4,18,6.43,7.6
"Carrick Felix",8,0.456,3.6,2.6,0.704,94,6.6,2.4,10.2,5.37,4.8
"Carsen Edwards",14.2,0.412,5.9,4.2,0.817,108,6.1,1.9,17.8,9.84,3.4
"Cartier Martin",10.1,0.458,4.6,3.8,0.78,112,6.7,2.4,13.8,6.11,4.8
"Casey Jacobsen",12.2,0.47,5.8,5.6,0.771,95,6.6,1.4,18.1,8.67,3.8
"Casey Shaw",9.7,0.546,5.3,5.5,0.594,113,6.1,2.9,13.8,0.58,7.7
"Casper Ware",11.1,0.402,4.5,4.4,0.784,131,5.1,2.2,14.1,0.96,2.5
