"name","fgapg","fgpct","fgpg","ftapg","ftpct","games","height","pfpg","ptspg","sospg","trbpg"
"Dave Stallworth",17,0.532,9,8.3,0.752,79,6.7,2.8,24.3,6.9,10.5
"David Benoit",8.7,0.511,4.4,2.2,0.75,66,6.8,2.6,10.6,4.65,7
"David Burns",13.5,0.548,7.4,6.5,0.711,54,6.2,3.5,19.4,3.01,4.5
"David Cooke",7.1,0.49,3.5,3.9,0.646,106,6.8,3.6,9.5,1.02,5.5
"David Duke",9.6,0.394,3.8,3.5,0.769,91,6.5,2.8,11.5,7.91,4.2
"David Greenwood",11,0.543,6,3.4,0.756,118,6.9,2.7,14.6,5.72,8.7
"David Harrison",9.2,0.601,5.6,7,0.553,88,7.1,3.4,15,6.73,8
"David Johnson",7.9,0.444,3.5,1.7,0.65,46,6.5,2.1,8.9,8.23,4
"David Lee",7.4,0.581,4.3,4,0.681,127,6.9,2.2,11.3,8.11,6.8
"David Noel",5.2,0.532,2.7,1.6,0.587,127,6.6,2,6.9,10.19,4.3
"David Nwaba",9,0.473,4.2,5.2,0.65,88,6.4,2,11.9,1.01,5.3
"David Rivers",13.5,0.442,6,6.1,0.813,118,6.1,2.4,17.4,4.23,3.3
"David Robinson",13.3,0.613,8.1,7.6,0.627,127,7.1,2.8,21,-2.08,10.3
"David Stockton",3.8,0.424,1.6,1.5,0.7,138,5.1,1.7,4.8,4.2,1.6
"David Thirdkill",10.4,0.499,5.2,4.5,0.667,94,6.7,3.1,13.4,2.76,5.6
"David Thompson",19.7,0.553,10.9,6.6,0.763,86,6.4,2.8,26.8,7.55,8.1
"David Vanterpool",9.8,0.428,4.2,5.3,0.73,112,6.5,3.3,13.2,3.84,5.6
"David Vaughn",11.1,0.486,5.4,4.3,0.749,92,6.9,3,14.2,7.5,9.8
"David Wear",5.8,0.473,2.7,1.3,0.736,130,6.1,1.7,6.8,7.64,4.3
"David Wesley",11.9,0.441,5.3,6.3,0.828,70,6.1,2.9,17.5,1.96,3.6
"David West",10.8,0.531,5.8,6.9,0.757,126,6.9,2.8,16.9,4.18,10.4
"David Wingate",10.7,0.467,5,3.9,0.719,139,6.5,2.3,12.8,5.93,3.6
"David Wood",7.4,0.488,3.6,2.9,0.702,58,6.9,3.8,10.4,1.31,7.7
"Davion Mitchell",7.1,0.459,3.3,1.9,0.657,94,6.2,2.4,9,7.94,2.1
"Davon Reed",7.8,0.43,3.3,2.6,0.779,131,6.6,1.9,10.3,8.24,3.6
"Day'Ron Sharpe",7.4,0.519,3.9,3.5,0.505,29,6.1,2,9.5,9.52,7.6
"De'Aaron Fox",12.4,0.479,5.9,5.9,0.736,36,6.3,2.5,16.7,10.49,4
"De'Andre Hunter",8.5,0.509,4.4,3.6,0.773,71,6.7,1.9,12.4,9.61,4.4
"De'Anthony Melton",6.4,0.437,2.8,3,0.706,36,6.4,2.3,8.3,6.4,4.7
"Dean Garrett",10.2,0.538,5.5,3.8,0.672,63,6.1,2.8,13.6,9.38,8.5
"Dean Meminger",14.2,0.464,6.6,8.8,0.647,87,6.1,2,18.8,0.93,5.1
"Dean Oliver",9.6,0.384,3.7,4.9,0.754,126,5.1,2.4,12.4,10,2.9
"Dean Wade",8.7,0.498,4.3,3.2,0.711,126,6.1,2.3,12,9.55,5.4
"Deandre Ayton",12.9,0.612,7.9,5.5,0.733,35,7.1,2.3,20.1,6.84,11.6
"DeAndre Bembry",12.6,0.457,5.7,4.9,0.628,101,6.6,2.5,15.7,4.2,6.7
"DeAndre Jordan",5.2,0.617,3.2,3.4,0.437,35,6.1,1.9,7.9,7.46,6
"DeAndre Liggins",4.8,0.407,1.9,2,0.643,100,6.6,1.9,5.8,6.85,3
"Dedric Willoughby",11.4,0.421,4.8,4.5,0.796,93,6.3,1.1,15.7,3.54,3.2
"Dee Brown",11.3,0.482,5.4,3,0.763,108,6.1,2.2,13.9,1.43,5.3
"Dee Brown",11,0.422,4.7,2.4,0.725,137,6.1,1.9,13.2,7.15,3.3
"Dejon Jarreau",7.6,0.429,3.3,3.4,0.713,122,6.5,2.4,9.5,4.49,4.3
"Dejounte Murray",14.3,0.416,5.9,4.9,0.663,34,6.5,2.6,16.1,8.12,6
"DeJuan Blair",9.6,0.568,5.5,4.3,0.614,72,6.7,2.8,13.6,8.23,10.7
"DeJuan Wheat",11.8,0.452,5.3,4,0.755,136,6.1,1.7,16.1,8.19,2.6
"Delaney Rudd",9.9,0.495,4.9,2.1,0.805,114,6.2,2.3,11.7,7.39,1.7
"Dell Curry",16,0.505,8.1,3.5,0.785,126,6.4,2.6,18.9,4.23,4.8
"Dell Demps",11.4,0.455,5.2,4,0.695,115,6.3,NULL,15.1,2.66,4.9
"Delon Wright",9.3,0.535,5,5.5,0.814,68,6.5,1.6,15,6.82,5.8
"Delonte West",10.3,0.489,5.1,3,0.831,89,6.4,1.9,13.9,4,4.2
"DeMar DeRozan",10.5,0.523,5.5,4.2,0.646,35,6.7,2.1,13.9,9.15,5.7
"DeMarco Johnson",12.6,0.492,6.2,5.6,0.748,119,6.9,2.7,16.8,5.56,7.8
"DeMarcus Cousins",9.7,0.558,5.4,7.1,0.604,38,6.1,3.2,15.1,6.82,9.8
"DeMarcus Nelson",8.2,0.466,3.8,3.7,0.586,124,6.4,2.1,10.8,9.64,4.9
"DeMarre Carroll",8.4,0.535,4.5,3.5,0.603,134,6.8,2.3,11.2,7.11,6
"Demetris Nichols",9,0.423,3.8,2.1,0.752,123,6.8,2,10.9,7.27,4.1
"Demetrius Calip",7.7,0.461,3.5,2.1,0.724,96,6.1,1.2,9.6,9.98,1.9
"Demetrius Jackson",8.6,0.467,4,3,0.782,103,6.1,1.9,11.7,7.79,3.1
"Deng Adel",9,0.438,3.9,2.9,0.776,89,6.7,1.5,11.2,9.32,4.1
"Deng Gai",9.8,0.473,4.6,3.7,0.736,100,6.9,3,12.7,-2.74,7
"Dennis Awtrey",13.3,0.578,7.7,6.4,0.715,84,6.1,2.5,19.9,-1.89,13.5
"Dennis Hopson",12.3,0.519,6.4,4.4,0.793,125,6.5,1.8,16.8,8.58,5.7
"Dennis Horner",4.9,0.468,2.3,2,0.781,128,6.9,1.7,6.8,7.87,2.9
"Dennis Johnson",14,0.479,6.7,4.1,0.563,27,6.4,3,15.7,1.5,5.8
"Dennis Nutt",9.8,0.519,5.1,1.8,0.849,102,6.2,NULL,11.7,3.14,1.5
"Dennis Scott",16.6,0.452,7.5,3.6,0.777,99,6.8,2.1,21.4,8.65,5.3
"Dennis Smith",13.1,0.455,6,6.3,0.715,32,6.3,2.1,18.1,8.09,4.6
"Dennis Wuycik",10.1,0.59,6,5.9,0.834,87,6.6,3.1,16.9,4.98,6.4
"Denzel Valentine",9.1,0.442,4,2,0.779,144,6.5,2.1,11.4,9.21,5.9
"Deonte Burton",8.4,0.478,4,2.6,0.664,101,6.4,2.4,10.4,9.43,4
"DeQuan Jones",4.1,0.44,1.8,1.4,0.632,111,6.8,1.2,4.6,7.16,2.4
"Derek Anderson",8.5,0.482,4.1,4,0.805,99,6.5,2.5,12.4,10.44,3.8
"Derek Fisher",9.3,0.414,3.9,4.8,0.747,112,6.1,2.6,12.4,-2.35,4.4
"Derek Grimm",5.8,0.486,2.8,2.7,0.813,117,6.9,2.7,9,7.37,4.4
"Derek Harper",9.5,0.478,4.5,2.4,0.701,90,6.4,2,10.9,6.7,3.6
"Derek Hood",7.9,0.51,4,2.5,0.583,131,6.8,3.3,9.5,6.72,7.6
"Derek Smith",9.5,0.577,5.5,4.4,0.67,131,6.6,3.1,13.9,4.85,6.7
"Derek Strong",7.7,0.573,4.4,5.8,0.802,96,6.8,3.2,13.4,0.72,8.4
"DerMarr Johnson",9.2,0.478,4.4,3,0.737,32,6.9,2,12.6,8.5,3.8
"Deron Williams",9.4,0.422,4,2.1,0.685,101,6.3,2.2,11,7.44,3.3
"Derrek Dickey",14.9,0.48,7.1,4.5,0.605,78,6.7,2.8,17,2.12,11
"Derrick Alston",11.6,0.561,6.5,6.4,0.576,114,6.1,3.5,16.7,4.26,7.7
"Derrick Brown",6.5,0.573,3.7,3.3,0.718,106,6.8,2.5,10.3,4.5,5.6
"Derrick Byars",8.5,0.463,3.9,2.2,0.698,126,6.7,2.3,11,8.4,3.7
"Derrick Caracter",7.1,0.563,4,3.6,0.628,79,6.9,3.1,10.3,5.88,5.6
"Derrick Chievous",13.2,0.522,6.9,7.4,0.793,130,6.7,2.3,19.8,7.43,7.5
"Derrick Coleman",9.5,0.568,5.4,6,0.684,143,6.1,3,15,8.71,10.7
"Derrick Dial",11.8,0.48,5.7,3.1,0.774,122,6.4,2,15.5,2.5,5.7
"Derrick Favors",8.1,0.611,5,4,0.629,36,6.1,2.6,12.4,9.02,8.4
"Derrick Gervin",14.9,0.548,8.1,6.2,0.78,80,6.8,3.1,21.1,-3.85,8.6
"Derrick Jones",7.3,0.589,4.3,4.4,0.594,30,6.7,3.1,11.5,3.17,4.5
"Derrick McKey",8.7,0.58,5,2.7,0.797,99,6.9,2.7,12.4,8.41,6.5
"Derrick Phelps",5.7,0.448,2.6,2.4,0.718,132,6.4,1.8,7.3,10.41,3.3
"Derrick Rose",10.9,0.477,5.2,5.1,0.712,40,6.3,1.7,14.9,5.76,4.5
"Derrick Walton",8.4,0.404,3.4,3.5,0.837,127,6.1,1.8,11.6,9.33,4.4
"Derrick White",11.9,0.507,6,5.4,0.813,34,6.5,2.1,18.1,6,4.1
"Derrick Williams",9.6,0.586,5.6,8.2,0.719,69,6.8,2.7,17.8,8.05,7.7
"Derrick Zimmerman",5.2,0.477,2.5,2.6,0.6,127,6.3,2.1,6.9,7.33,3.3
"Desmon Farmer",10.6,0.41,4.3,3.9,0.746,121,6.5,2.1,13.3,8.24,3.8
"Desmond Bane",9.4,0.495,4.7,1.9,0.804,141,6.6,2.2,12.7,10.08,4.7
"Desmond Ferguson",8.4,0.402,3.4,1.5,0.753,116,6.7,NULL,9.9,1.39,3.5
"Desmond Mason",9.8,0.486,4.8,3.6,0.731,129,6.7,2.1,13.2,5.94,6.2
"Desmond Penigar",12.9,0.478,6.2,4.6,0.707,64,6.7,2.1,16.4,-1.56,6.8
"Detlef Schrempf",8.5,0.521,4.5,4.2,0.708,122,6.9,2.9,11.9,4.92,6.2
"DeVaughn Akoon-Purcell",10.7,0.428,4.6,4.7,0.739,60,6.5,1.9,13.5,2.73,5.3
"Devin Booker",7.6,0.47,3.6,1.7,0.828,38,6.6,1.5,10,8.67,2
"Devin Brown",14.7,0.411,6.1,6.2,0.733,105,6.5,2.2,18.3,-6.8,7.2
"Devin Cannady",10.5,0.441,4.6,3.1,0.896,104,6.2,1.9,14.6,-1.61,4.1
"Devin Durrant",13.1,0.545,7.1,7,0.757,117,6.7,2.8,19.5,3.68,5.5
"Devin Ebanks",8.6,0.463,4,4.2,0.736,69,6.9,1.7,11.2,9.3,7.9
"Devin Gray",10.6,0.546,5.8,4.2,0.563,94,6.7,2.9,14.1,7.59,5.6
"Devin Green",11,0.452,5,4.3,0.736,123,6.7,2.5,14.3,-9.77,6.2
"Devin Harris",10.2,0.447,4.6,4.8,0.778,96,6.3,2.1,14.8,7.74,4.1
"Devin Robinson",7.1,0.45,3.2,2.2,0.714,105,6.8,2.1,8.9,9.96,4.9
"Devin Vassell",6.6,0.475,3.1,1.5,0.72,63,6.6,1.4,8.4,8.95,3.2
"Devon Dotson",10.5,0.474,5,4.8,0.808,66,6.2,2.2,14.9,12.21,3.8
"Devon Hall",5.7,0.419,2.4,1.5,0.807,128,6.5,1.4,6.9,9.73,3.2
"Devontae Cacok",7.9,0.639,5,3.8,0.592,129,6.7,3.2,12.3,-0.85,9.8
"Devonte' Graham",9.1,0.422,3.8,3.2,0.787,142,6.2,1.7,12.3,11.86,3.1
"Dewan Hernandez",6.3,0.56,3.5,2.4,0.675,64,6.1,1.9,8.6,8.26,4.9
"Dewayne Dedmon",5.8,0.52,3,1.7,0.614,51,7.1,3.1,7.1,7.41,6.4
"DeWayne Scales",13.8,0.525,7.3,2.6,0.624,84,6.8,3.2,16.2,5.41,8.7
"Dexter Boney",11.2,0.504,5.6,4.2,0.619,56,6.4,1.6,15.1,3.39,4.8
"Dexter Cambridge",11.4,0.522,6,4.6,0.711,51,6.7,NULL,15.7,7.05,5.7
"Dexter Pittman",4,0.623,2.5,2.6,0.601,134,6.1,2,6.6,7.54,3.9
"Dexter Shouse",11.1,0.477,5.3,2.8,0.798,58,6.2,2.4,12.9,1.15,2.5
"Deyonta Davis",5.7,0.598,3.4,1.1,0.605,35,6.1,2.3,7.5,6.94,5.5
"Diamond Stone",8.4,0.568,4.8,3.8,0.761,35,6.1,2.3,12.5,8.31,5.4
"Diante Garrett",9.7,0.407,3.9,2.7,0.729,128,6.4,1.6,10.7,6.64,2.8
"Dick Duckett",11.6,0.373,4.3,3.9,0.693,90,6.1,1.8,11.4,3.21,4.1
"Dick Garmaker",19,0.399,7.6,10.5,0.743,44,6.3,3.3,22.9,9.08,7.7
"Dick Groat",20.4,0.409,8.3,8.7,0.735,82,6.1,3.6,23,-5.91,7.6
"Dick McGuire",NULL,NULL,3.6,2.8,0.852,88,6.1,1.2,9.5,NULL,10.9
"Dick Miller",9.8,0.515,5.1,4,0.546,103,6.6,NULL,12.3,-1.34,8.6
"Dick Ricketts",17,0.39,6.6,6.1,0.719,111,6.7,3.4,17.7,5.06,12.2
"Dick Schnittker",16.4,0.595,9.7,11,0.733,41,6.5,4.1,27.5,1.96,NULL
"Dick Snyder",15.2,0.556,8.4,5.3,0.807,80,6.5,2.1,21.2,-1.81,8.1
"Dick Van Arsdale",13.2,0.442,5.8,7,0.793,72,6.5,3.2,17.2,6.79,10
"Dickey Simpkins",7.1,0.486,3.4,4.4,0.646,125,6.9,2.5,9.8,7.59,6.3
"Dijon Thompson",10,0.464,4.6,2.7,0.781,117,6.7,1.8,12.5,8.61,4.7
"Dikembe Mutombo",5.7,0.644,3.7,3.9,0.641,96,7.2,2.4,9.9,11.27,8.6
"Dillon Brooks",11.4,0.472,5.4,3.5,0.794,109,6.5,2.9,14.8,8.23,4.5
"Dion Glover",15.2,0.441,6.7,5.6,0.64,33,6.5,2,18.4,8.7,5
"Dion Waiters",7.7,0.453,3.5,2.3,0.753,71,6.4,1.6,9.7,8.4,1.9
"Dionte Christmas",11.8,0.426,5,4.2,0.778,130,6.6,2.2,15.7,3.89,4.4
"Dirk Minniefield",6.5,0.524,3.4,2.4,0.773,123,6.3,2.7,8.7,8.27,2.7
"Doc Rivers",12.2,0.478,5.8,3.6,0.615,89,6.4,3,13.9,4.13,3.3
"Dolph Schayes",5.7,0.64,3.6,1.9,1.516,80,6.7,1,10.2,NULL,NULL
"Domantas Sabonis",8.2,0.632,5.2,4.2,0.729,74,6.1,3,13.5,4.67,9.4
"Dominic McGuire",7.2,0.462,3.3,3.2,0.556,86,6.9,2.3,8.7,4.16,6.3
"Dominic Pressley",6.5,0.495,3.2,2.4,0.698,119,6.2,2.7,8.1,5.61,2.7
"Dominique Jones",14.1,0.442,6.2,6.5,0.737,95,6.4,2.6,18.9,7.32,5.4
"Dominique Wilkins",17.5,0.53,9.3,4.4,0.699,78,6.7,2.6,21.6,7.47,7.5
"Don Adams",13.8,0.421,5.8,4.7,0.719,71,1.0,3.7,15,5.37,10.9
"Don Boven",6,0.856,5.1,8.2,0.607,43,6.3,3.4,15.2,NULL,NULL
"Don Buse",NULL,NULL,NULL,NULL,NULL,NULL,1.0,NULL,NULL,NULL,NULL
"Don Chaney",12.5,0.438,5.5,2.6,0.634,90,6.5,3.1,12.6,-0.11,5.3
"Don Collins",10.3,0.56,5.8,4.1,0.772,106,6.6,2.9,14.7,3.65,5
"Don Ford",10.8,0.509,5.5,2.7,0.779,53,6.9,2.8,13.1,2.34,6.2
"Don Freeman",17.7,0.444,7.9,6.1,0.719,72,6.3,2.4,20.1,6.93,10.3
"Don Kojis",17.3,0.431,7.4,6,0.612,81,1.0,2.4,18.6,3.88,15.1
"Don MacLean",14,0.531,7.4,6.5,0.86,127,6.1,2.5,20.5,9.3,7.8
"Don May",17.3,0.472,8.2,7.4,0.769,90,6.4,3,22,3.6,14.5
"Don Meineke",16.6,0.469,7.8,7.4,0.765,88,6.7,4,21.2,0.67,13.4
"Don Nelson",14.5,0.507,7.4,9.5,0.672,72,6.6,3,21.1,5.58,10.9
"Don Ohl",14.7,0.398,5.8,3.5,0.645,66,6.3,3,14,6.07,NULL
"Don Reid",3,0.579,1.7,2,0.561,122,6.8,2.8,4.5,8.32,4
"Don Sidle",13.3,0.54,7.2,8.9,0.676,76,6.8,2.8,20.4,2.61,10
"Don Smith",16.8,0.465,7.8,10.4,0.645,75,6.8,2.8,22.3,3.38,13.7
"Donald Hodge",8.9,0.538,4.8,5.2,0.714,65,7.1,2.5,13.3,5.15,7.5
"Donald Royal",5.1,0.56,2.8,4.9,0.78,117,6.8,2.4,9.5,3.87,4.9
"Donald Sloan",8.8,0.428,3.8,3.6,0.732,138,6.3,1.4,11,7.13,3.3
"Donald Whiteside",8.6,0.428,3.7,2.8,0.789,100,5.1,NULL,11.6,-3.32,1.5
"Donell Taylor",8.7,0.473,4.1,3.3,0.732,65,6.6,2.4,11.6,5.21,3.7
"Donnell Harvey",7.7,0.507,3.9,3.8,0.61,37,6.8,2.7,10.1,8.51,7
"Donnie Boyce",15.4,0.421,6.5,6.7,0.666,107,6.5,2.9,18.6,7.64,6
"Donny Marshall",7.4,0.474,3.5,3.2,0.791,121,6.7,2.3,9.9,7.22,4.4
"Donovan Mitchell",9.8,0.418,4.1,2.5,0.788,65,6.3,2.6,11.7,9.44,4.1
"Donta Hall",4.5,0.661,3,2.6,0.607,135,6.9,2.1,7.5,8.94,6.3
"Dontae' Jones",12.7,0.474,6,2.6,0.744,33,6.8,2.8,14.7,8.73,6.8
"Donte DiVincenzo",7.6,0.469,3.6,2.2,0.705,85,6.5,1.8,10.2,9.74,4
"Donte Grantham",8.5,0.414,3.5,1.6,0.726,114,6.8,1.7,9.6,8.32,4.8
"Donte Greene",14.9,0.418,6.2,3.8,0.707,35,6.1,2.9,17.7,7.96,7.2
"Dontell Jefferson",3,0.389,1.2,1.5,0.67,62,6.5,2,3.6,4.88,2.6
"Dontonio Wingfield",13.2,0.422,5.6,5,0.669,29,6.8,3.1,16,6.18,9
"Donyell Marshall",13.5,0.487,6.6,5.4,0.77,91,6.9,2.5,18.1,7.15,7.6
"Dorian Finney-Smith",8.7,0.411,3.6,3.2,0.657,134,6.8,2.4,10.7,8.4,7.1
"Doron Lamb",8.9,0.485,4.3,3.2,0.811,78,6.4,2,13.1,8.42,2.3
"Doug Christie",11.7,0.473,5.6,5.5,0.747,87,6.6,2.4,16,0.31,5.1
"Doug Collins",16.5,0.704,11.6,7.1,0.823,77,6.6,1.9,29.1,-0.02,5.1
"Doug Edwards",12.8,0.52,6.7,4.9,0.725,93,6.7,3.2,17.2,8.54,8.5
"Doug Lee",6.3,0.482,3,1.8,0.662,116,6.5,2.1,7.6,5.58,3.6
"Doug McDermott",14.3,0.55,7.9,4.9,0.831,145,6.8,1.8,21.7,4.29,7.5
"Doug Moe",13.5,0.406,5.5,8.1,0.68,60,6.5,2.8,16.5,1.96,10.6
"Doug Overton",11.4,0.486,5.6,2.8,0.814,123,6.3,1.8,14.6,-0.77,3.4
"Doug Roth",6.9,0.471,3.2,1.3,0.634,114,6.1,2.6,7.6,7.53,5.6
"Doug Smith",13.7,0.51,7,4,0.747,128,6.1,3.3,17.1,9.82,8.2
"Doug West",11.6,0.486,5.6,3.4,0.716,138,6.6,3,14.8,8.02,4.6
"Draymond Green",8,0.467,3.7,3.4,0.687,145,6.7,2.7,10.5,9.76,7.6
"Drew Barry",7.8,0.447,3.5,2.8,0.778,117,6.5,1.8,10.7,10.29,4.1
"Drew Eubanks",7.8,0.598,4.7,3.5,0.693,96,6.1,2.8,11.7,6.57,6.6
"Drew Gooden",12.3,0.493,6.1,4.7,0.698,98,6.1,2.5,15.6,9.39,9.2
"Drew Gordon",7.4,0.541,4,2.7,0.69,101,6.9,2.4,10,5.82,8
"Duane Causwell",5.5,0.504,2.8,2.7,0.624,75,7.1,2.7,7.2,3,6
"Duane Cooper",4.7,0.456,2.1,1.6,0.604,118,6.1,1.3,6.2,6.84,2.2
"Duane Ferrell",10.6,0.537,5.7,4,0.733,127,6.7,2.5,14.3,8.89,5.4
"Duane Klueh",17.3,0.363,6.3,6.3,0.714,35,6.3,1.5,17.1,NULL,NULL
"Duane Washington",9.9,0.397,3.9,2,0.8,94,6.3,1.4,11.4,11.14,2.9
"Duane Washington",6.1,0.441,2.7,2.4,0.8,63,6.4,2.3,7.3,-2.05,3.4
"Duck Williams",10.6,0.483,5.1,2.9,0.749,115,6.2,2,12.5,5.82,1.9
"Dudley Bradley",4,0.456,1.8,1.2,0.552,120,6.6,1.7,4.4,7.92,2.4
"Duje Dukan",2.6,0.427,1.1,0.7,0.656,97,6.1,0.9,3.1,9.53,1.7
"Duncan Robinson",6.8,0.455,3.1,1.2,0.864,115,6.8,2.2,9.3,9.16,2.5
"Dusty Hannahs",8.7,0.428,3.7,2.5,0.888,131,6.3,1.8,11.5,7.07,1.7
"Dwayne Bacon",13.5,0.449,6.1,4.2,0.733,69,6.7,1.9,16.5,8.52,5
"Dwayne Jones",4.8,0.522,2.5,4.3,0.484,98,6.1,2.5,7.1,4,8.5
"Dwayne McClain",9,0.575,5.1,2.8,0.739,125,6.6,2.7,12.4,6.42,3.5
"Dwayne Morton",10.4,0.524,5.4,4.2,0.711,95,6.7,2.5,15,8.12,4.2
"Dwayne Polee",9.3,0.502,4.7,4.8,0.751,116,6.5,2.9,12.9,0.74,3.4
"Dwayne Schintzius",12.8,0.494,6.3,2.9,0.729,110,7.1,3.1,14.8,8.63,7.5
"Dwayne Whitfield",9.2,0.584,5.4,5.1,0.651,67,6.9,2.9,14.1,-6.12,7.7
"Dwight Anderson",12.4,0.488,6,5.8,0.725,79,6.3,2.5,16.3,7.1,3.6
"Dwight Buycks",6.4,0.443,2.9,1.7,0.687,68,6.3,1.6,7.7,8.37,3
"Dwight Davis",16,0.509,8.2,5.9,0.745,84,6.7,3.2,20.7,2.11,11.4
"Dwight Jones",14.7,0.493,7.2,4.5,0.69,54,6.1,2.7,17.6,-0.06,13.7
"Dwight Powell",8.2,0.464,3.8,4.1,0.722,136,6.1,2.9,10.8,6.38,6.3
"Dwyane Wade",14.8,0.494,7.3,6.2,0.745,65,6.4,2.4,19.7,6.03,6.5
"Dylan Windler",8.6,0.541,4.6,2.9,0.761,128,6.8,2.4,13.2,-2.32,7.8
"Dyron Nix",12.3,0.515,6.3,5.2,0.707,113,6.7,2.7,16.6,7.53,8.4
"E'Twaun Moore",12.7,0.44,5.6,3.3,0.729,140,6.4,2.3,15.3,7.64,4.4
"E.C. Coleman",10.8,0.579,6.2,6,0.654,26,6.7,3.3,16.4,NULL,11.7
"Earl Barron",5.9,0.479,2.8,3.2,0.685,128,7.1,3,7.8,5.68,4.9
"Earl Boykins",14.2,0.439,6.2,5.2,0.803,122,5.5,NULL,18.1,2.5,2.3
"Earl Clark",8.6,0.467,4,3.2,0.64,104,6.9,1.7,10.6,8.03,7
"Earl Cureton",14,0.502,7,3.5,0.6,81,6.9,3.3,16.2,-1.87,9.5
"Earl Evans",10.9,0.489,5.4,3.5,0.708,99,6.8,2.9,13.2,4.2,7.2
"Earl Tatum",11,0.478,5.3,2.1,0.698,103,6.5,3,12,4.04,5.5
"Earl Watson",8.9,0.45,4,3.3,0.654,129,6.1,2.9,11.2,10.51,3.8
"Ed Conlin",16.2,0.421,6.8,6.3,0.724,102,6.5,0.9,18.2,1.49,18.5
"Ed Davis",6.3,0.548,3.4,3.7,0.623,61,6.1,1.9,9.2,9.09,7.7
"Ed Gray",15.2,0.422,6.4,5.1,0.773,81,6.3,2.7,18.3,8.03,3.4
"Ed Horton",8.2,0.516,4.2,3.4,0.555,132,6.8,2.9,10.4,9.18,6.6
"Ed Leede",NULL,NULL,5.6,3.6,1.022,50,1.0,1.7,14.8,NULL,NULL
"Ed Macauley",5.8,0.853,4.9,3,1.266,104,6.8,1.5,13.6,NULL,NULL
"Ed Nealy",8.5,0.499,4.2,3.1,0.7,123,6.7,2.4,10.6,5.68,8.7
"Ed O'Bannon",11.3,0.513,5.8,4.3,0.739,117,6.8,2.1,15.5,8.91,7
"Ed Pinckney",8.2,0.604,4.9,6.3,0.723,129,6.9,3,14.5,6.42,8.6
"Ed Rains",11.7,0.493,5.8,5.9,0.697,115,6.7,NULL,15.7,-3.14,6.3
"Ed Ratleff",18.2,0.479,8.7,5,0.782,85,6.6,2.2,21.4,0.93,8.4
"Ed Searcy",9.9,0.468,4.6,4.2,0.603,64,1.0,2.7,11.8,-0.04,11.5
"Ed Stokes",6,0.515,3.1,3.1,0.624,121,7.1,2.7,8.1,8.8,5.3
"Eddie Basden",6.3,0.491,3.1,3.6,0.687,118,6.5,2.1,9,6.08,6.5
"Eddie Gill",10.8,0.41,4.4,4.7,0.866,61,6.1,1.8,15.1,0.33,5
"Eddie Griffin",16,0.429,6.9,3.6,0.734,30,6.1,2.4,17.8,6.03,10.8
"Eddie House",14.5,0.425,6.2,2.7,0.798,124,6.1,2.4,16.5,8.01,4
"Eddie Hughes",10.9,0.49,5.3,3.1,0.699,106,5.1,2.3,12.8,4.99,3.3
"Eddie Johnson",13.7,0.454,6.2,2.3,0.671,121,6.7,2.5,14,8.15,6.9
"Eddie Johnson",17.4,0.444,7.7,5,0.801,102,6.2,3.1,19.5,5.32,3.6
"Eddie Jones",13.4,0.458,6.1,3.5,0.614,92,6.6,2.5,16,8.98,6.1
"Eddie Jordan",12.3,0.467,5.7,3.6,0.723,116,6.1,2,14.1,-0.5,3.5
"Eddie Miles",19.5,0.481,9.4,5.7,0.757,79,6.4,1.9,23.1,-1.5,5.9
"Eddie Owens",15,0.517,7.7,4.2,0.793,118,6.7,2.6,18.8,1.05,5.1
"Eddie Phillips",11.9,0.533,6.3,5,0.652,122,6.7,3,15.9,6.43,9.3
"Edgar Jones",14.6,0.498,7.3,5.9,0.685,101,6.1,3.7,18.6,1.41,11
"Edmond Sumner",8.2,0.429,3.5,5.1,0.73,58,6.5,2.3,11.4,9.81,3.5
"Edmund Lawrence",16.9,0.493,8.3,4.9,0.563,102,7.1,3.4,19.5,-7.19,11.9
"Eduardo Najera",11.3,0.43,4.9,4,0.669,126,6.8,2.9,13.1,5.16,7.2
"Edwin Ubiles",12.1,0.497,6,3,0.672,131,6.7,1.2,14.8,-1.63,4.3
"Ekpe Udoh",7,0.472,3.3,2.5,0.649,103,6.1,2.2,8.4,7.6,6.3
"Elden Campbell",10.9,0.562,6.1,4.7,0.641,123,6.1,2.9,15.3,6.1,6.8
"Eldridge Recasner",10.7,0.481,5.1,4,0.812,117,6.3,NULL,14.5,7.16,3.7
"Elfrid Payton",10.3,0.485,5,6.5,0.611,100,6.3,2.3,14.3,-1.6,5.1
"Elgin Baylor",23.2,0.498,11.6,10.4,0.784,54,6.6,3.1,31.2,2.01,19.8
"Elias Harris",9.5,0.517,4.9,4.6,0.723,135,6.7,2.1,13.8,3.82,7.3
"Elijah Bryant",10.9,0.437,4.7,4.9,0.8,91,6.4,2.4,15.1,0.24,4.9
"Elijah Hughes",11,0.411,4.5,3.7,0.763,91,6.6,1.9,13.9,6.22,4
"Elijah Millsap",10.6,0.422,4.4,5.3,0.629,87,6.6,2.9,12.8,-1.35,7.5
"Elliot Perry",13.5,0.443,6,5.6,0.794,126,6.1,2.2,17.5,5.52,3.5
"Elliot Williams",7.6,0.454,3.4,4.4,0.719,68,6.4,1.9,11.1,6.36,3.1
"Elmer Bennett",9.8,0.443,4.3,3.7,0.717,124,6.1,2.4,12,8.55,2.4
