"player","class","pos","school","conf","drafted"
"Lucas Woodhouse",4,"G","Stony Brook","AEC",0
"Kameron Woods",4,"F","Butler","Big East",0
"Raeford Worsham",4,"G","Jackson State","SWAC",0
"Keith Wright",3,"F","Harvard","Ivy",0
"Nathan Adrian",4,"F","West Virginia","Big 12",0
"KeVaughn Allen",2,"G","Florida","SEC",0
"Terry Allen",3,"F","Richmond","A-10",0
"Keith Appling",3,"G","Michigan State","Big Ten",0
"Travis Bader",3,"G","Oakland","Summit",0
"Chane Behanan",2,"F","Louisville","Big East",0
"Jake Bittle",3,"G","South Dakota State","Summit",0
"Roderick Bobbitt",4,"G","Hawaii","Big West",0
"Denzel Bowles",3,"F","James Madison","CAA",0
"Julian Boyd",3,"F","Long Island University","NEC",0
"Keith Braxton",2,"G","Saint Francis (PA)","NEC",0
"AJ Brodeur",3,"F","Pennsylvania","Ivy",0
"Jeff Brooks",4,"F","Penn State","Big Ten",0
"Michael Bryson",4,"G","UC-Santa Barbara","Big West",0
"Dwight Coleby",4,"F","Western Kentucky","CUSA",0
"Charles Cooke",3,"G","Dayton","A-10",0
"Trevor Cooney",2,"G","Syracuse","ACC",0
"Tyler Davis",3,"C","Texas A&M","SEC",0
"LaRon Dendy",4,"F","Middle Tennessee","Sun Belt",0
"Noah Dickerson",3,"F","Washington","Pac-12",0
"Javier Duren",4,"G","Yale","Ivy",0
"Jordan Dykstra",4,"F","South Dakota State","Summit",0
"James Ennis",4,"G","Cal State Long Beach","Big West",0
"Ryan Evans",3,"G","Wisconsin","Big Ten",0
"Tacko Fall",2,"C","Central Florida","AAC",0
"Skyler Flatten",4,"G","South Dakota State","Summit",0
"Jarrey Foster",2,"G","Southern Methodist","AAC",0
"Blake Francis",2,"G","Wagner","NEC",0
"Austin Freeman",4,"G","Georgetown","Big East",0
"Jonathan Galloway",4,"F","UC-Irvine","Big West",0
"Davante Gardner",3,"F","Marquette","Big East",0
"Matt Gatens",4,"G","Iowa","Big Ten",0
"Jack Gibbs",4,"G","Davidson","A-10",0
"T.J. Gibbs",2,"G","Notre Dame","ACC",0
"Mike Groselle",3,"C","Citadel","Southern",0
"Carl Hall",4,"F","Wichita State","MVC",0
"Daniel Hamilton",2,"G","Connecticut","AAC",0
"TJ Haws",3,"G","Brigham Young","WCC",0
"Austin Hollins",4,"G","Minnesota","Big Ten",0
"Desmond Holloway",3,"G","Coastal Carolina","Big South",0
"Jordan Hulls",4,"G","Indiana","Big Ten",0
"Jimond Ivey",4,"G","Akron","MAC",0
"Derrik Jamerson Jr.",4,"G","Norfolk State","MEAC",0
"Alize Johnson",4,"F","Missouri State","MVC",0
"Melvin Johnson",4,"G","Virginia Commonwealth","A-10",0
"Zach Johnson",3,"G","Florida Gulf Coast","A-Sun",0
"Darius Johnson-Odom",4,"G","Marquette","Big East",0
"Marcus Keene",3,"G","Central Michigan","MAC",0
"Markus Kennedy",2,"F","Southern Methodist","AAC",0
"Marcos Knight",4,"G","Middle Tennessee","Sun Belt",0
"Max Landis",4,"G","Purdue-Fort Wayne","Summit",0
"David Laury",4,"F","Iona","MAAC",0
"Chris Long",4,"G","Elon","Southern",0
"Jairus Lyles",4,"G","Maryland-Baltimore County","AEC",0
"K.J. Maura",4,"G","Maryland-Baltimore County","AEC",0
"Demetri McCamey",4,"G","Illinois","Big Ten",0
"T.J. McConnell",1,"G","Duquesne","A-10",0
"Tyrus McGee",4,"G","Iowa State","Big 12",0
"Cameron Moore",4,"F","Alabama-Birmingham","CUSA",0
"Kwame Morgan",3,"G","Hampton","MEAC",0
"William Mosley",4,"C","Northwestern State","Southland",0
"Travis Munnings",3,"F","Louisiana-Monroe","Sun Belt",0
"Tymell Murphy",4,"F","Florida International","CUSA",0
"Nick Muszynski",1,"C","Belmont","OVC",0
"Jake Odum",3,"G","Indiana State","MVC",0
"Walter Offutt",3,"G","Ohio","MAC",0
"Tylor Ongwae",4,"F","Louisiana-Monroe","Sun Belt",0
"Rian Pearson",2,"G","Toledo","MAC",0
"Phil Pressey",2,"G","Missouri","Big 12",0
"Nick Rakocevic",3,"F","Southern California","Pac-12",0
"Clifford Reed",3,"G","Bethune-Cookman","MEAC",0
"Evan Roquemore",3,"G","Santa Clara","WCC",0
"Robert Sacre",3,"C","Gonzaga","WCC",0
"Sebastian Saiz",4,"F","Mississippi","SEC",0
"Marial Shayok",4,"G","Iowa State","Big 12",0
"Brian Stafford",4,"G","Denver","Sun Belt",0
"Chehales Tapscott",4,"F","Portland State","Big Sky",0
"Jacquil Taylor",4,"F","Hofstra","CAA",0
"Marcus Thornton",4,"G","William & Mary","CAA",0
"Andrew Warren",4,"G","Bradley","MVC",0
"Maurice Watson Jr.",2,"G","Boston University","Patriot",0
"Sam Willard",4,"F","Pacific","Big West",0
"James Young",1,"G","Kentucky","SEC",0
"Michael Young",2,"F","Pittsburgh","ACC",0
"Jaylin Airington",4,"F","Cal State Bakersfield","WAC",0
"P.J. Alawoya",4,"F","McNeese State","Southland",0
"Bryce Alford",4,"G","UCLA","Pac-12",0
"Mo Alie-Cox",3,"F","Virginia Commonwealth","A-10",0
"Lavoy Allen",4,"F","Temple","A-10",0
"Kyle Allman",3,"G","Cal State Fullerton","Big West",0
"Larry Austin",4,"G","Central Michigan","MAC",0
"Shannon Bogues",3,"G","Stephen F. Austin","Southland",0
"Deishuan Booker",4,"G","Cal State Long Beach","Big West",0
"C.J. Bryce",2,"G","North Carolina-Wilmington","CAA",0
"Reginald Buckner",4,"F","Mississippi","SEC",0
"Michael Carrera",4,"F","South Carolina","SEC",0
"Nik Cochran",4,"G","Davidson","Southern",0
"David Collins",2,"G","South Florida","AAC",0
"Steven Cook",4,"F","Princeton","Ivy",0
"Torrey Craig",2,"F","South Carolina Upstate","A-Sun",0
"Tyron Criswell",4,"G","Nevada","MWC",0
"Stacy Davis",3,"F","Pepperdine","WCC",0
"Jeff Dowtin",3,"G","Rhode Island","A-10",0
"Ernie Duncan",4,"G","Vermont","AEC",0
"Obi Emegano",3,"G","Oral Roberts","Summit",0
"Nick Emery",1,"G","Brigham Young","WCC",0
"Kyle Fogg",4,"G","Arizona","Pac-12",0
"Tim Frazier",3,"G","Penn State","Big Ten",0
"Daniel Gafford",2,"F","Arkansas","SEC",0
"Patricio Garino",4,"G","George Washington","A-10",0
"Jimmy Gavin",4,"G","Winthrop","Big South",0
"D.J. Gay",4,"G","San Diego State","MWC",0
"Martinas Geben",4,"F","Notre Dame","ACC",0
"Ricardo Glenn",4,"F","South Carolina Upstate","A-Sun",0
"Calvin Godfrey",3,"F","Southern","SWAC",0
"Kenny Goins",4,"F","Michigan State","Big Ten",0
"Jerami Grant",2,"F","Syracuse","ACC",0
"Chad Gray",4,"F","Coastal Carolina","Big South",0
"Steven Gray",4,"G","Gonzaga","WCC",0
"Dorian Green",4,"G","Colorado State","MWC",0
"Derrick Griffin",1,"F","Texas Southern","SWAC",0
"Tyree Griffin",4,"G","Southern Mississippi","CUSA",0
"P.J. Hairston",2,"G","North Carolina","ACC",0
"Dwight Hardy",4,"G","St. John's (NY)","Big East",0
"Arlon Harper",2,"G","Charleston Southern","Big South",0
"Nathan Healy",4,"F","Appalachian State","Southern",0
"Martin Hermannsson",2,"G","Long Island University","NEC",0
"Jaren Jackson Jr.",1,"F","Michigan State","Big Ten",0
"Desmar Jackson",4,"G","Southern Illinois","MVC",0
"Justin Jackson",4,"F","Cincinnati","AAC",0
"Venky Jois",3,"F","Eastern Washington","Big Sky",0
"Jalen Jones",3,"G","Texas-Arlington","Sun Belt",0
"Tre Jones",1,"G","Duke","ACC",0
"Tyreke Key",2,"G","Indiana State","MVC",0
"Daishon Knight",4,"G","Illinois State","MVC",0
"Bronson Koenig",4,"G","Wisconsin","Big Ten",0
"Hernst Laroche",4,"G","New Mexico State","WAC",0
"Meyers Leonard",2,"C","Illinois","Big Ten",0
"Kyle Lofton",1,"G","St. Bonaventure","A-10",0
"Micah Mason",4,"G","Duquesne","A-10",0
"Kevin Mays",4,"F","Cal State Bakersfield","WAC",0
"Skylar Mays",3,"G","Louisiana State","SEC",0
"Erik McCree",4,"F","Louisiana Tech","CUSA",0
"Anthony McDonald",4,"G","North Carolina Central","MEAC",0
"Sean McGonagill",4,"G","Brown","Ivy",0
"Khris Middleton",2,"F","Texas A&M","Big 12",0
"Nazareth Mitrou-Long",4,"G","Iowa State","Big 12",0
"Demetris Morant",4,"F","Florida Gulf Coast","A-Sun",0
"Brock Motum",3,"F","Washington State","Pac-12",0
"Sviatoslav Mykhailiuk",4,"G","Kansas","Big 12",0
"Nate Navigato",4,"F","Toledo","MAC",0
"Jalen Nesbitt",4,"G","North Florida","A-Sun",0
"Derrick Nix",4,"C","Michigan State","Big Ten",0
"Robert Nyakundi",3,"F","Southern Methodist","CUSA",0
"Frank Otis",4,"F","Weber State","Big Sky",0
"Brandon Paul",4,"G","Illinois","Big Ten",0
"Jesse Perry",4,"F","Arizona","Pac-12",0
"Earl Pettis",4,"G","La Salle","A-10",0
"Trey Porter",3,"F","Old Dominion","CUSA",0
"Dwight Powell",3,"F","Stanford","Pac-12",0
"Keith Rendleman",4,"F","North Carolina-Wilmington","CAA",0
"Josh Richardson",4,"G","Tennessee","SEC",0
"T.J. Robinson",4,"F","Cal State Long Beach","Big West",0
"LaQuinton Ross",3,"F","Ohio State","Big Ten",0
"Jared Sam",3,"F","Southern","SWAC",0
"Jalen Sanders",1,"G","Northern Colorado","Big Sky",0
"Admiral Schofield",4,"G","Tennessee","SEC",0
"Bryson Scott",4,"G","Purdue-Fort Wayne","Summit",0
"E.J. Singler",2,"F","Oregon","Pac-10",0
"Josh Slater",4,"G","Lipscomb","A-Sun",0
"Andrew Smith",4,"C","Butler","A-10",0
"Ike Smith",2,"G","Georgia Southern","Sun Belt",0
"Travis Smith",4,"G","Mercer","A-Sun",0
"Michael Snaer",3,"G","Florida State","ACC",0
"Chace Stanback",3,"G","Nevada-Las Vegas","MWC",0
"D.J. Stephens",4,"F","Memphis","CUSA",0
"Lewis Sullivan",4,"F","Alabama-Birmingham","CUSA",0
"Mike Talley",4,"G","Eastern Michigan","MAC",0
"Ricky Tarrant",1,"G","Tulane","CUSA",0
"Jared Terrell",4,"G","Rhode Island","A-10",0
"Michael Thompson",4,"G","Northwestern","Big Ten",0
"Rayjon Tucker",3,"G","Little Rock","Sun Belt",0
"Elston Turner",4,"G","Texas A&M","SEC",0
"Kevin Vannatta",2,"G","North Carolina-Asheville","Big South",0
"Keaton Wallace",2,"G","Texas-San Antonio","CUSA",0
"Billy White",4,"F","San Diego State","MWC",0
"T.J. Williams",4,"G","Northeastern","CAA",0
"TrayVonn Wright",3,"F","North Dakota State","Summit",0
"Tony Wroblicky",4,"C","American","Patriot",0
"Alex Young",4,"G","IUPUI","Summit",0
"Andre Young",4,"G","Clemson","ACC",0
"La'Shard Anderson",4,"G","Boise State","WAC",0
"Aaron Bacote",4,"G","Old Dominion","CUSA",0
"Wade Baldwin",2,"G","Vanderbilt","SEC",0
"Remi Barry",4,"F","New Mexico State","WAC",0
"Devin Booker",1,"G","Kentucky","SEC",0
"Miles Bowman",4,"F","High Point","Big South",0
"Jarekious Bradley",3,"G","Southeast Missouri State","OVC",0
"De'Mon Brooks",4,"F","Davidson","Southern",0
"Barry Brown",4,"G","Kansas State","Big 12",0
"David Brown",4,"G","Western Michigan","MAC",0
"Desure Buie",4,"G","Hofstra","CAA",0
"Spencer Butterfield",3,"G","Utah State","WAC",0
"Jordan Campbell",4,"G","Belmont","A-Sun",0
"Jahii Carson",1,"G","Arizona State","Pac-12",0
"Robert Carter",3,"F","Maryland","Big Ten",0
"Emanuel Chapman",4,"G","North Carolina Central","MEAC",0
"Chris Chiozza",4,"G","Florida","SEC",0
"Rotnei Clarke",3,"G","Arkansas","SEC",0
"Stephen Croone",3,"G","Furman","Southern",0
"Will Davis",4,"F","UC-Irvine","Big West",0
"Ousmane Drame",4,"F","Quinnipiac","MAAC",0
"Gregory Echenique",4,"C","Creighton","MVC",0
"TyShwan Edmondson",3,"G","Austin Peay","OVC",0
"Cortez Edwards",3,"G","Southern Mississippi","CUSA",0
"Octavius Ellis",3,"F","Cincinnati","AAC",0
"Festus Ezeli",3,"C","Vanderbilt","SEC",0
"Trey Finn",3,"G","Arkansas State","Sun Belt",0
"Phil Forte",2,"G","Oklahoma State","Big 12",0
"Daniel Fowler",4,"G","Furman","Southern",0
"Jaylen Franklin",4,"G","Abilene Christian","Southland",0
"Harald Frey",3,"G","Montana State","Big Sky",0
"Ramon Galloway",4,"G","La Salle","A-10",0
"Nick Garth",4,"G","Lamar","Southland",0
"Yancy Gates",3,"F","Cincinnati","Big East",0
"Brian Green",4,"G","Utah State","WAC",0
"Donta Hall",4,"F","Alabama","SEC",0
"Luke Hancock",2,"F","George Mason","CAA",0
"Drew Hanlen",4,"G","Belmont","A-Sun",0
"David Hanson",3,"F","Cal Poly","Big West",0
"Tim Hardaway",3,"G","Michigan","Big Ten",0
"Kevon Harris",2,"G","Stephen F. Austin","Southland",0
"Ryan Harrow",4,"G","Georgia State","Sun Belt",0
"Kevin Hartley",4,"F","Gardner-Webb","Big South",0
"Zaid Hearst",3,"G","Quinnipiac","MAAC",0
"Mick Hedgepeth",3,"F","Belmont","A-Sun",0
"Max Heidegger",2,"G","UC-Santa Barbara","Big West",0
"Brady Heslip",4,"G","Baylor","Big 12",0
"Caleb Homesley",3,"G","Liberty","A-Sun",0
"Kevin Huerter",2,"G","Maryland","Big Ten",0
"Christopher Hyder",4,"G","Southern","SWAC",0
"Anthony Ireland",2,"G","Loyola Marymount","WCC",0
"Tonye Jekiri",3,"C","Miami (FL)","ACC",0
"Jarrod Jones",4,"F","Ball State","MAC",0
"Lucky Jones",2,"G","Robert Morris","NEC",0
"MoMo Jones",4,"G","Iona","MAAC",0
"Kenny Kadji",4,"F","Miami (FL)","ACC",0
"Moses Kingsley",2,"C","Arkansas","SEC",0
"Alex Kirk",2,"C","New Mexico","MWC",0
"Gabe Knutson",3,"F","Lehigh","Patriot",0
"Kyle Kuzma",3,"F","Utah","Pac-12",0
"Michale Kyser",4,"F","Louisiana Tech","CUSA",0
"Cedrick Lang",4,"F","Texas-El Paso","CUSA",0
"Brynton Lemar",4,"G","UC-Davis","Big West",0
"Stephen Lumpkins",3,"F","American","Patriot",0
"Max Mahoney",3,"F","Boston University","Patriot",0
"Aurimas Majauskas",3,"F","Sam Houston State","Southland",0
"Jermaine Mallett",4,"G","Missouri State","MVC",0
"Greg Mangano",4,"F","Yale","Ivy",0
"Jaron Martin",4,"G","UC-Irvine","Big West",0
"Z Mason",4,"F","Chattanooga","Southern",0
"Charles Matthews",3,"G","Michigan","Big Ten",0
"Jeronne Maymon",4,"F","Tennessee","SEC",0
"Jalen McDaniels",1,"F","San Diego State","MWC",0
"Quinn McDowell",3,"G","William & Mary","CAA",0
"Nick McGlynn",4,"F","Drake","MVC",0
"Kevin McKay",2,"G","Central Michigan","MAC",0
"Aaron Menzies",3,"C","Seattle","WAC",0
"John Mooney",3,"F","Notre Dame","ACC",0
"Darren Moore",4,"G","UC-Irvine","Big West",0
"Ramone Moore",3,"G","Temple","A-10",0
"Jeffery Moss",3,"F","Murray State","OVC",0
"DeSean Murray",2,"F","Presbyterian","Big South",0
"Erick Neal",2,"G","Texas-Arlington","Sun Belt",0
"Tyler Nelson",4,"G","Fairfield","MAAC",0
"Kendrick Nunn",4,"G","Oakland","Horizon",0
"Ethan O'Day",3,"F","Vermont","AEC",0
"Royce O'Neale",2,"F","Denver","WAC",0
"Andy Ogide",4,"F","Colorado State","MWC",0
"Josh Okogie",1,"G","Georgia Tech","ACC",0
"Ryan Olander",3,"C","Fairfield","MAAC",0
"Cameron Oliver",2,"F","Nevada","MWC",0
"James Palmer",4,"G","Nebraska","Big Ten",0
"Brandon Peterson",4,"F","Arkansas State","Sun Belt",0
"Marshall Plumlee",4,"C","Duke","ACC",0
"Cletrell Pope",3,"F","Bethune-Cookman","MEAC",0
"Taurean Prince",3,"F","Baylor","Big 12",0
"Neemias Queta",1,"C","Utah State","MWC",0
"Jonah Radebaugh",2,"G","Northern Colorado","Big Sky",0
"Galen Robinson Jr.",4,"G","Houston","AAC",0
"Devin Robinson",3,"F","Florida","SEC",0
"Andrew Rowsey",2,"G","North Carolina-Asheville","Big South",0
"Marcus Santos-Silva",2,"F","Virginia Commonwealth","A-10",0
"Zak Showalter",4,"G","Wisconsin","Big Ten",0
"James Siakam",4,"F","Vanderbilt","SEC",0
"Chris Smith",4,"G","Louisville","Big East",0
"Scoochie Smith",4,"G","Dayton","A-10",0
"Christian Standhardinger",4,"F","Hawaii","Big West",0
"Garrett Stutz",4,"C","Wichita State","MVC",0
"Kaleb Tarczewski",2,"C","Arizona","Pac-12",0
"Hollis Thompson",3,"F","Georgetown","Big East",0
"Marques Townes",4,"G","Loyola (IL)","MVC",0
"Brian Voelkel",4,"F","Vermont","AEC",0
"Jonathan Wade",4,"G","Norfolk State","MEAC",0
"Wyatt Walker",2,"C","Samford","Southern",0
"James Washington",4,"G","Middle Tennessee","Sun Belt",0
"Thomas Welsh",4,"C","UCLA","Pac-12",0
"Trent Wiedeman",1,"F","College of Charleston","Southern",0
"C.J. Wilcox",3,"G","Washington","Pac-12",0
"Isaiah Wilkins",4,"F","Virginia","ACC",0
"Brenton Williams",4,"G","South Carolina","SEC",0
"Jeff Allen",4,"F","Virginia Tech","ACC",0
"Tim Ambrose",4,"G","Albany (NY)","AEC",0
"Aaron Anderson",3,"G","North Dakota","Big Sky",0
"Justin Anderson",3,"G","Virginia","ACC",0
"Kendall Anthony",4,"G","Richmond","A-10",0
"Sean Armand",3,"G","Iona","MAAC",0
"Udoka Azubuike",2,"C","Kansas","Big 12",0
"Jordan Bachynski",4,"C","Arizona State","Pac-12",0
"Trae Bell-Haynes",4,"G","Vermont","AEC",0
"Brayon Blake",4,"F","Idaho","Big Sky",0
"John Bohannon",4,"C","Texas-El Paso","CUSA",0
"Lorenzo Bonam",4,"G","Utah","Pac-12",0
"Dee Bost",4,"G","Mississippi State","SEC",0
"Amida Brimah",2,"C","Connecticut","AAC",0
"Bruce Brown",1,"G","Miami (FL)","ACC",0
"Gilbert Brown",4,"F","Pittsburgh","Big East",0
"Thomas Bryant",1,"C","Indiana","Big Ten",0
"Devin Cannady",2,"G","Princeton","Ivy",0
"Alex Caruso",4,"G","Texas A&M","SEC",0
"Henry Caruso",3,"F","Princeton","Ivy",0
"Nico Carvacho",3,"C","Colorado State","MWC",0
"Jordan Clarkson",3,"G","Missouri","SEC",0
"Landon Clement",3,"G","North Carolina Central","Ind",0
"Ryan Cline",4,"G","Purdue","Big Ten",0
"Adrien Coleman",3,"G","Bethune-Cookman","MEAC",0
"Brett Comer",4,"G","Florida Gulf Coast","A-Sun",0
"Markus Crider",3,"F","Georgia State","Sun Belt",0
"James Daniel",3,"G","Howard","MEAC",0
"DeAndre Daniels",3,"F","Connecticut","AAC",0
"Jordan Dartis",2,"G","Ohio","MAC",0
"Dwayne Davis",4,"F","Southern Mississippi","CUSA",0
"Mike Davis",4,"F","Illinois","Big Ten",0
"Branden Dawson",4,"G","Michigan State","Big Ten",0
"Cameron Delaney",4,"G","Sam Houston State","Southland",0
"Gabe DeVoe",4,"G","Clemson","ACC",0
"Tyreek Duren",3,"G","La Salle","A-10",0
"Fuquan Edwin",2,"G","Seton Hall","Big East",0
"Dylan Ennis",4,"G","Oregon","Pac-12",0
"Erik Etherly",3,"F","Loyola (MD)","MAAC",0
"Andrew Eudy",4,"C","Campbell","Big South",0
"Mo Evans",4,"G","Purdue-Fort Wayne","Summit",0
"Jehyve Floyd",4,"F","Holy Cross","Patriot",0
"Jordan Fouse",3,"G","Green Bay","Horizon",0
"Frank Gaines",4,"G","Purdue-Fort Wayne","Summit",0
"Darius Gardner",3,"G","American","Patriot",0
"Seth Gearhart",4,"F","Rice","CUSA",0
"Cole Gentry",3,"G","Wright State","Horizon",0
"Niels Giffey",4,"G","Connecticut","AAC",0
"Jessie Govan",3,"C","Georgetown","Big East",0
"Holden Greiner",4,"F","Lehigh","Patriot",0
"Kerry Hammonds",4,"G","Middle Tennessee","CUSA",0
"Olivier Hanlan",3,"G","Boston College","ACC",0
"Tobias Harris",1,"F","Tennessee","SEC",0
"Shaquille Harrison",3,"G","Tulsa","AAC",0
"Kevarrius Hayes",4,"C","Florida","SEC",0
"Isaiah Hicks",4,"F","North Carolina","ACC",0
"Jesse Hunt",4,"F","Eastern Washington","Big Sky",0
"Vince Hunter",2,"F","Texas-El Paso","CUSA",0
"Jacob Iati",4,"G","Albany (NY)","AEC",0
"Denzel Ingram",4,"G","North Carolina-Wilmington","CAA",0
"Wesley Iwundu",4,"F","Kansas State","Big 12",0
"Derek Jackson",4,"G","Kent State","MAC",0
"Karamo Jawara",4,"F","North Carolina Central","MEAC",0
"B.J. Jenkins",4,"G","Murray State","OVC",0
"Jordan Johnson",3,"G","Milwaukee","Horizon",0
"Cameron Jones",4,"G","Northern Arizona","Big Sky",0
"Carlik Jones",2,"G","Radford","Big South",0
"Jalen Jones",2,"G","Southern Methodist","CUSA",0
"Cory Joseph",1,"G","Texas","Big 12",0
"Jaron Lane",4,"F","North Carolina-Asheville","Big South",0
"Wayne Langston",4,"F","Murray State","OVC",0
"Jake Layman",3,"F","Maryland","Big Ten",0
"Caris LeVert",2,"G","Michigan","Big Ten",0
"Beau Levesque",3,"F","Saint Mary's (CA)","WCC",0
"Trey Lewis",3,"G","Cleveland State","Horizon",0
"Jordan Loveridge",2,"F","Utah","Pac-12",0
"Trey Lyles",1,"F","Kentucky","SEC",0
"J.P. Macura",3,"G","Xavier","Big East",0
"Denzel Mahoney",2,"G","Southeast Missouri State","OVC",0
"Devareaux Manley",4,"G","Kent State","MAC",0
"Anthony Marshall",4,"G","Nevada-Las Vegas","MWC",0
"Kendall Marshall",2,"G","North Carolina","ACC",0
"Trevor Mbakwe",3,"F","Minnesota","Big Ten",0
"Austin McBroom",4,"G","Eastern Washington","Big Sky",0
"Rickey McGill",4,"G","Iona","MAAC",0
"Tre' McLean",3,"F","Chattanooga","Southern",0
"Chimezie Metu",3,"F","Southern California","Pac-12",0
"Daxter Miles",4,"G","West Virginia","Big 12",0
"Lee Moore",3,"G","Texas-El Paso","CUSA",0
"Javion Ogunyemi",3,"F","Siena","MAAC",0
"Adrian Oliver",4,"G","San Jose State","WAC",0
"Dylan Osetkowski",4,"F","Texas","Big 12",0
"Osun Osunniyi",1,"F","St. Bonaventure","A-10",0
"Nijal Pearson",3,"G","Texas State","Sun Belt",0
"Eli Pemberton",3,"G","Hofstra","CAA",0
"Wesley Person",3,"G","Troy","Sun Belt",0
"Jabari Peters",4,"G","Sam Houston State","Southland",0
"Norman Powell",4,"G","UCLA","Pac-12",0
"Sayeed Pridgett",3,"G","Montana","Big Sky",0
"Rashawn Rembert",3,"G","East Tennessee State","A-Sun",0
"Laquincy Rideau",2,"G","Gardner-Webb","Big South",0
"Duncan Robinson",4,"G","Michigan","Big Ten",0
"James Robinson",2,"G","Pittsburgh","ACC",0
"Jeromy Rodriguez",3,"F","East Tennessee State","Southern",0
"Durand Scott",4,"G","Miami (FL)","ACC",0
"Wayne Selden",3,"G","Kansas","Big 12",0
"Collin Sexton",1,"G","Alabama","SEC",0
"Brandon Sherrod",4,"F","Yale","Ivy",0
"Jovonni Shuler",4,"G","Savannah State","Ind",0
"Chris Silva",4,"F","South Carolina","SEC",0
"Khalil Small",4,"G","Green Bay","Horizon",0
"Lenzelle Smith",4,"G","Ohio State","Big Ten",0
"Terrell Stoglin",2,"G","Maryland","ACC",0
"Dwayne Sutton",1,"G","North Carolina-Asheville","Big South",0
"Elijah Thomas",4,"F","Clemson","ACC",0
"Austin Tillotson",2,"G","Colgate","Patriot",0
"Dennis Tinnon",3,"F","Marshall","CUSA",0
"Jordan Tolbert",4,"F","Southern Methodist","AAC",0
"Mark Tollefsen",3,"F","San Francisco","WCC",0
"Aaron Valdes",3,"G","Hawaii","Big West",0
"Kirk Van Slyke",4,"F","Arkansas State","Sun Belt",0
"Kevin Van Wijk",4,"F","Valparaiso","Horizon",0
"Martez Walker",3,"G","Oakland","Horizon",0
"Kyle Washington",3,"F","Cincinnati","AAC",0
"Tim Williams",2,"F","Samford","Southern",0
"Brandon Wood",3,"G","Valparaiso","Horizon",0
"McKinley Wright IV",2,"G","Colorado","Pac-12",0
"Cashmere Wright",4,"G","Cincinnati","Big East",0
"Jihad Ali",4,"F","Georgia State","CAA",0
"Keve Aluma",2,"F","Wofford","Southern",0
"Malcolm Armstead",4,"G","Wichita State","MVC",0
"Jordan Barnett",4,"F","Missouri","SEC",0
"Dedrick Basile",3,"G","Cal State Bakersfield","WAC",0
"Davon Bell",4,"G","Presbyterian","Big South",0
"Tarik Black",2,"F","Memphis","CUSA",0
"Anatoly Bose",4,"G","Nicholls State","Southland",0
"Lorenzo Brown",2,"G","North Carolina State","ACC",0
"Tyler Brown",4,"G","Illinois State","MVC",0
"Jared Brownridge",1,"G","Santa Clara","WCC",0
"Darryl Bryant",4,"G","West Virginia","Big East",0
"Leroy Buchanan",4,"G","Murray State","OVC",0
"Jason Calliste",4,"G","Oregon","Pac-12",0
"Allan Chaney",4,"F","High Point","Big South",0
"Gian Clavell",4,"G","Colorado State","MWC",0
"Gilberto Clavell",4,"F","Sam Houston State","Southland",0
"Al'lonzo Coleman",4,"C","Presbyterian","Big South",0
"JoJo Cooper",4,"G","Wagner","NEC",0
"Daniel Coursey",4,"F","Mercer","A-Sun",0
"Angel Delgado",3,"F","Seton Hall","Big East",0
"Alpha Diallo",3,"G","Providence","Big East",0
"David DiLeo",2,"F","Central Michigan","MAC",0
"Mike DiNunno",4,"G","Eastern Kentucky","OVC",0
"Daniel Dion",4,"G","New Hampshire","AEC",0
"Nick Dixon",4,"G","Texas-Rio Grande Valley","WAC",0
"Justin Drummond",3,"G","Toledo","MAC",0
"Malcolm Drumwright",4,"G","Jacksonville State","OVC",0
"J.T. Durley",4,"C","Wichita State","MVC",0
"Shannon Evans",2,"G","Buffalo","MAC",0
"Phil Fayne",4,"F","Illinois State","MVC",0
"Bryn Forbes",2,"G","Cleveland State","Horizon",0
"Conner Frankamp",3,"G","Wichita State","MVC",0
"Greg Gantt",4,"G","Florida Atlantic","Sun Belt",0
"Jordan Geist",4,"G","Missouri","SEC",0
"Warren Gillis",3,"G","Coastal Carolina","Big South",0
"Shaq Goodwin",4,"F","Memphis","AAC",0
"Anton Grady",3,"F","Cleveland State","Horizon",0
"Malcolm Grant",3,"G","Miami (FL)","ACC",0
"Jamelle Hagins",3,"F","Delaware","CAA",0
"Tyrese Haliburton",1,"G","Iowa State","Big 12",0
"Justin Hamilton",3,"C","Louisiana State","SEC",0
"K.T. Harrell",4,"G","Auburn","SEC",0
"Josh Hawkinson",4,"F","Washington State","Pac-12",0
"Jaxson Hayes",1,"F","Texas","Big 12",0
"Corey Henson",2,"G","Wagner","NEC",0
"Ria'n Holland",3,"G","Mercer","Southern",0
"Peter Hooley",2,"G","Albany (NY)","AEC",0
"Franko House",3,"F","Ball State","MAC",0
"Justin Hurtt",4,"G","Tulsa","CUSA",0
"Jonathan Isaac",1,"F","Florida State","ACC",0
"Rapolas Ivanauskas",3,"F","Colgate","Patriot",0
"Ebuka Izundu",4,"C","Miami (FL)","ACC",0
"Bernard James",4,"F","Florida State","ACC",0
"Delroy James",4,"F","Rhode Island","A-10",0
"Justinian Jessup",2,"G","Boise State","MWC",0
"Jordair Jett",4,"G","Saint Louis","A-10",0
"Shane Johannsen",4,"F","Northern Arizona","Big Sky",0
"Bryson Johnson",4,"G","Bucknell","Patriot",0
"Elijah Johnson",3,"G","Kansas","Big 12",0
"Gary Johnson",4,"F","Texas","Big 12",0
