"player","class","pos","school","conf","drafted"
"Devon Beitzel",4,"G","Northern Colorado","Big Sky",0
"Bryce Cotton",4,"G","Providence","Big East",0
"Marcus Denmon",4,"G","Missouri","Big 12",1
"Jordan Ford",3,"G","Saint Mary's (CA)","WCC",0
"Devonte' Graham",4,"G","Kansas","Big 12",1
"Jordan Hamilton",2,"G","Texas","Big 12",0
"Jeremy Ingram",4,"G","North Carolina Central","MEAC",0
"Nick Johnson",3,"G","Arizona","Pac-12",1
"Dedric Lawson",3,"F","Kansas","Big 12",0
"Lauri Markkanen",1,"F","Arizona","Pac-12",1
"K.J. McDaniels",3,"F","Clemson","ACC",1
"Jahlil Okafor",1,"C","Duke","ACC",1
"Victor Oladipo",3,"G","Indiana","Big Ten",0
"Kelly Olynyk",3,"F","Gonzaga","WCC",1
"Alec Burks",2,"G","Colorado","Big 12",0
"Corey Davis Jr.",4,"G","Houston","AAC",0
"Trey Freeman",4,"G","Old Dominion","CUSA",0
"Montrezl Harrell",3,"F","Louisville","ACC",1
"Tu Holloway",3,"G","Xavier","A-10",0
"Wendell McKines",4,"F","New Mexico State","WAC",0
"Tony Mitchell",2,"F","Alabama","SEC",1
"Jacob Parker",3,"F","Stephen F. Austin","Southland",0
"Grant Riller",3,"G","College of Charleston","CAA",0
"Nikola Vucevic",3,"F","Southern California","Pac-10",0
"Jeff Withey",4,"C","Kansas","Big 12",1
"Cameron Bairstow",4,"F","New Mexico","MWC",1
"Ron Baker",3,"G","Wichita State","MVC",0
"R.J. Barrett",1,"F","Duke","ACC",0
"Jerrelle Benimon",4,"F","Towson","CAA",0
"Joel Bolomboy",4,"F","Weber State","Big Sky",1
"Martin Breunig",4,"F","Montana","Big Sky",0
"Yogi Ferrell",4,"G","Indiana","Big Ten",0
"Andrew Goudelock",4,"G","College of Charleston","Southern",0
"Erick Green",4,"G","Virginia Tech","ACC",1
"John Jenkins",3,"G","Vanderbilt","SEC",0
"Tyus Jones",1,"G","Duke","ACC",1
"Shane Larkin",2,"G","Miami (FL)","ACC",0
"Fletcher Magee",4,"G","Wofford","Southern",0
"T.J. McConnell",4,"G","Arizona","Pac-12",0
"Ben McLemore",1,"G","Kansas","Big 12",0
"Monte Morris",4,"G","Iowa State","Big 12",1
"Dominique Morrison",4,"F","Oral Roberts","Summit",0
"Kendrick Perry",4,"G","Youngstown State","Horizon",0
"Terry Taylor",2,"G","Austin Peay","OVC",0
"T.J. Warren",2,"F","North Carolina State","ACC",1
"Jordan Adams",2,"G","UCLA","Pac-12",1
"Tookie Brown",3,"G","Georgia Southern","Sun Belt",0
"Jason Burnell",4,"F","Jacksonville State","OVC",0
"Dwayne Evans",3,"F","Saint Louis","A-10",0
"C.J. Fair",3,"F","Syracuse","Big East",0
"Michael Glover",3,"F","Iona","MAAC",0
"Jon Axel Gudmundsson",3,"G","Davidson","A-10",0
"Ben Hansbrough",4,"G","Notre Dame","Big East",0
"Ethan Happ",2,"F","Wisconsin","Big Ten",0
"Maurice Kemp",4,"F","East Carolina","CUSA",0
"Derrick Marks",4,"G","Boise State","MWC",0
"Preston Medlin",2,"G","Utah State","WAC",0
"Jonathan Stark",4,"G","Murray State","OVC",0
"Caleb Swanigan",2,"F","Purdue","Big Ten",1
"Karl-Anthony Towns",1,"F","Kentucky","SEC",1
"Muhammad-Ali Abdur-Rahkman",4,"G","Michigan","Big Ten",0
"Peyton Aldridge",4,"F","Davidson","A-10",0
"Kerry Blackshear Jr.",3,"F","Virginia Tech","ACC",0
"Ryan Broekhoff",3,"G","Valparaiso","Horizon",0
"Jimmy Butler",4,"G","Marquette","Big East",0
"Jalen Cannon",4,"F","St. Francis (NY)","NEC",0
"Malcolm Delaney",4,"G","Virginia Tech","ACC",0
"Brandon Goodwin",3,"G","Florida Gulf Coast","A-Sun",0
"Alex Hamilton",4,"G","Louisiana Tech","CUSA",0
"Tyler Haws",4,"G","Brigham Young","WCC",0
"Quinton Hooker",3,"G","North Dakota","Big Sky",0
"Jon Leuer",4,"F","Wisconsin","Big Ten",0
"Frantz Massenat",2,"G","Drexel","CAA",0
"Chasson Randle",4,"G","Stanford","Pac-12",0
"Jamie Skeen",4,"F","Virginia Commonwealth","CAA",0
"Jacob Wiley",4,"F","Eastern Washington","Big Sky",0
"Jordan Bell",3,"F","Oregon","Pac-12",1
"Joshua Braun",2,"G","Grand Canyon","WAC",0
"Kentavious Caldwell-Pope",2,"G","Georgia","SEC",0
"Joe Chealey",3,"G","College of Charleston","CAA",0
"Jordan Davis",4,"G","Northern Colorado","Big Sky",0
"Matthew Dellavedova",4,"G","Saint Mary's (CA)","WCC",0
"Papa Dia",4,"F","Southern Methodist","CUSA",0
"Jon Elmore",3,"G","Marshall","CUSA",0
"Keenan Evans",4,"G","Texas Tech","Big 12",0
"Frank Hassell",4,"F","Old Dominion","CAA",0
"Scottie James",2,"F","Liberty","Big South",0
"Cameron Johnson",4,"G","North Carolina","ACC",1
"Doron Lamb",2,"G","Kentucky","SEC",0
"Jeremiah Martin",4,"G","Memphis","AAC",0
"Jordan McRae",4,"G","Tennessee","SEC",1
"Malcolm Miller",2,"G","Southern","SWAC",0
"Akil Mitchell",3,"F","Virginia","ACC",0
"Zach Norvell Jr.",2,"G","Gonzaga","WCC",0
"Kyle O'Quinn",4,"C","Norfolk State","MEAC",0
"Daishon Smith",4,"G","Louisiana-Monroe","Sun Belt",0
"Nik Stauskas",2,"G","Michigan","Big Ten",0
"James Thompson IV",3,"F","Eastern Michigan","MAC",0
"Reggie Upshaw",4,"F","Middle Tennessee","CUSA",0
"Jarvis Williams",4,"F","Murray State","OVC",0
"Keita Bates-Diop",3,"F","Ohio State","Big Ten",1
"Ryan Boatright",4,"G","Connecticut","AAC",0
"Michael Carter-Williams",2,"G","Syracuse","Big East",0
"Robert Covington",3,"F","Tennessee State","OVC",0
"Cleanthony Early",4,"F","Wichita State","MVC",0
"Carsen Edwards",2,"G","Purdue","Big Ten",1
"Perry Ellis",4,"F","Kansas","Big 12",0
"Anthony Gill",3,"F","Virginia","ACC",0
"Drew Gordon",4,"F","New Mexico","MWC",0
"Robert Gray Jr.",4,"G","Houston","AAC",0
"Elias Harris",4,"F","Gonzaga","WCC",0
"Tyler Harvey",3,"G","Eastern Washington","Big Sky",1
"Chris Horton",4,"C","Austin Peay","OVC",0
"Markus Howard",3,"G","Marquette","Big East",0
"Cameron Jackson",4,"F","Wofford","Southern",0
"Justin Jackson",3,"F","North Carolina","ACC",1
"Cory Jefferson",3,"F","Baylor","Big 12",1
"Davide Moretti",2,"G","Texas Tech","Big 12",0
"Jamal Murray",1,"G","Kentucky","SEC",1
"Bobby Portis",2,"F","Arkansas","SEC",1
"Levi Randolph",4,"G","Alabama","SEC",0
"Justin Robinson",3,"G","Monmouth","MAAC",0
"Kyle Singler",4,"F","Duke","ACC",0
"Keifer Sykes",3,"G","Green Bay","Horizon",0
"Erik Thomas",4,"F","New Orleans","Southland",0
"Melo Trimble",1,"G","Maryland","Big Ten",0
"Karvel Anderson",4,"G","Robert Morris","NEC",0
"Ryan Arcidiacono",4,"G","Villanova","Big East",0
"Taylor Braun",4,"G","North Dakota State","Summit",0
