?Rk,Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,Drafted
2591,Brockeith Pane,3,10-Nov,G,Utah State,WAC,34,961,17.6,0.55,0.465,1.8,10.6,6.5,24.9,2,0.4,19.5,25.2,408,106.9,93.5,2,2,4,1.5,2.2,3.7,0
2592,Kevin Parrom,4,2012-13,G,Arizona,Pac-12,35,825,20.3,0.616,0.586,9.1,17.5,13.3,16,1.5,1,13.6,17,302,128.7,98.1,2.8,1.2,4,7.1,2.8,9.9,0
2596,Tarik Phillip,4,2016-17,G,West Virginia,Big 12,37,900,18.4,0.53,0.474,2.7,11.3,6.7,21.4,3.9,1.9,14.7,20.2,361,113.2,91.7,1.9,2.2,4,3.8,4.9,8.7,0
2599,Devonta Pollard,4,2015-16,F,Houston,AAC,32,951,22.1,0.544,0.48,7.1,14.1,10.6,10.2,1.8,2.3,10.8,24.7,436,116.5,102.7,2.7,1.3,4,2.2,1.2,3.4,0
2600,Leon Powell,3,10-Nov,F,Southeast Missouri State,OVC,32,1007,23.5,0.61,0.63,11.8,16.5,14.2,8,1.1,4.9,13.5,21.8,424,117.1,103.5,2.9,1.1,4,2.1,0.1,2.2,0
2602,Adrian Rodgers,4,2015-16,G,Southern,SWAC,35,1131,19.1,0.526,0.49,3.4,14.5,9.1,8.8,1.9,0.4,9.5,27,528,107.8,100.9,2.2,1.8,4,0.6,-2.5,-1.9,0
2603,Desi Rodriguez,2,2015-16,F,Seton Hall,Big East,34,883,21.7,0.585,0.557,6.3,14,10.2,11,3.5,0.8,14.1,22.7,387,114.3,94.1,2.1,1.9,4,4.4,3.6,8,0
2605,Tim Rusthoven,3,2012-13,F,William & Mary,CAA,30,856,26,0.587,0.567,11.4,20.1,15.9,18.1,1.1,3.2,12.8,27.6,424,117.1,104.1,3.2,0.8,4,3.1,-1.1,2,0
2606,Devon Saddler,3,2012-13,G,Delaware,CAA,33,1246,20.5,0.545,0.483,2.6,10.9,6.8,18,1.5,0.5,15.1,29.2,617,107.3,106.6,3.2,0.9,4,3.6,-2.4,1.1,0
2610,Jereal Scott,3,10-Nov,C,Stephen F. Austin,Southland,28,694,25,0.624,0.6,10.7,18.9,14.8,8.1,1.3,1,15.3,26.9,320,116.1,89.6,2.3,1.7,4,0.9,-0.5,0.4,0
2612,Darryl Shazier,4,10-Nov,G,Bucknell,Patriot,34,1085,16.4,0.523,0.481,1.5,11.1,6.6,33,2.5,0,15.7,15.8,348,113.8,98,2.2,1.8,4,1.8,1.1,2.8,0
2613,Winston Shepard,4,2015-16,F,San Diego State,MWC,37,1067,18.1,0.472,0.4,6.9,17.7,12.5,23.4,1.9,1.3,14.8,24.9,451,102.8,91.5,1.4,2.6,4,0.8,4.3,5.1,0
2614,Jontae Sherrod,4,10-Nov,G,East Carolina,CUSA,34,1016,20.3,0.588,0.526,3.1,10.8,7,16.3,2.2,0.3,15.3,27.4,477,111.6,103.3,2.8,1.1,4,4.7,-1.1,3.6,0
2615,Rodrick Sikes,3,2017-18,G,South Alabama,Sun Belt,32,998,19.5,0.58,0.527,1.5,9.1,5.4,6.6,1.7,0.8,10.4,28.6,508,111.5,101,2.4,1.6,4,2.9,-2.3,0.6,0
2616,James Sinclair,4,2014-15,G,Western Carolina,Southern,31,1180,21.8,0.495,0.45,5.6,12.9,9.2,17.7,3.4,1.6,11.1,29.3,582,107,104.4,2.7,1.3,4,1.7,-1.7,0.1,0
2617,Evan Singletary,3,2014-15,G,Albany (NY),AEC,33,1153,16.6,0.552,0.503,1.6,11.4,6.5,18.9,1.5,0.7,14.7,22.3,417,111.1,102,2.5,1.5,4,2.1,-1.2,1,0
2618,Dennis Smith Jr.,1,2016-17,G,North Carolina State,ACC,32,1114,23.1,0.563,0.52,2.7,11.5,7.3,34.2,3.1,1.2,17.3,27.2,621,112.2,109.1,3.1,0.9,4,6.3,1,7.3,0
2619,Xavier Sneed,3,2018-19,F,Kansas State,Big 12,33,1014,16.5,0.514,0.487,5.3,16.8,10.9,13.3,2.7,1.4,10.8,20.1,342,107.3,91.3,1.6,2.4,4,3.2,4.9,8.1,0
2622,Kurt Steidl,4,2016-17,G,Vermont,AEC,35,1003,14.8,0.586,0.552,1.9,16.1,9.3,7.3,1.9,2.2,8.6,13.7,255,122.8,95.3,1.9,2.1,4,2.7,2.6,5.3,0
2623,Jae'Sean Tate,4,2017-18,F,Ohio State,Big Ten,34,1006,19.8,0.582,0.575,5.4,18.9,12.5,18.7,2.1,2.2,17.3,22.2,422,110.8,97.4,2,1.9,4,3.3,4.7,8,0
2624,Jalen Tate,2,2018-19,G,Northern Kentucky,Horizon,31,837,23.1,0.591,0.58,4.3,14.3,9.4,30.3,2.5,2.9,17.4,25.9,435,114,97.1,2.4,1.6,4,2.7,1.7,4.4,0
2625,D'Shon Taylor,3,2014-15,G,Norfolk State,MEAC,34,1082,18.1,0.561,0.528,6.5,12.1,9.5,8.6,1.6,2.9,12.6,22,411,113.9,101.8,2.6,1.4,4,1.9,-1.7,0.2,0
2627,Myles Taylor,4,2015-16,F,Tennessee-Martin,OVC,33,850,23.5,0.68,0.629,10.1,15.4,12.8,7.5,1.7,2.8,17.5,21.1,377,125.4,103.9,2.9,1.1,4,2.1,0,2.1,0
2629,Tahjai Teague,3,2018-19,F,Ball State,MAC,33,932,22.2,0.59,0.569,8.3,20.2,14.7,9.2,2.6,3.1,15.7,23.6,420,110.5,94.2,2,2,4,1.3,2.8,4.1,0
2631,Christian Thomas,2,2012-13,G,Loyola (IL),Horizon,31,839,23.5,0.597,0.566,10.3,22.6,16.2,7.3,1.7,0.3,10.5,23.2,346,120,98.6,2.8,1.2,4,2.5,-0.7,1.7,0
2632,Donte Thomas,4,2017-18,F,Bradley,MVC,33,857,23.7,0.586,0.556,10.9,21.4,16.2,9.2,2.5,5.1,13.7,23,359,114.5,93.3,2,2,4,2,3.7,5.7,0
2633,Jeff Thomas,3,2017-18,F,Georgia State,Sun Belt,35,1111,16.2,0.604,0.58,2.7,12.2,7.7,6.8,1.9,3.2,9.4,16,340,119.8,100.6,2.2,1.8,4,1.8,0.9,2.7,0
2634,Matt Thomas,4,2016-17,G,Iowa State,Big 12,35,1083,17.7,0.647,0.623,2.3,11.5,7,9.1,1.7,0.4,10.7,17.3,384,124.3,104.9,2.8,1.3,4,6.4,1.9,8.4,0
2637,Sam Thompson,4,2014-15,F,Ohio State,Big Ten,35,1139,15.9,0.533,0.503,3.4,10.2,6.9,9.8,2.4,3.3,11.6,17.3,343,111.2,96.9,1.9,2,4,2.8,4.3,7.1,0
2639,Myles Turner,1,2014-15,F,Texas,Big 12,34,755,25.5,0.556,0.488,7.2,24.9,16.7,6.2,0.8,12.3,13.2,25.1,310,112.6,86.3,1.9,2.1,4,1.5,7.3,8.7,0
2640,Joseph Uchebo,4,2015-16,C,Charlotte,CUSA,33,922,26.7,0.584,0.584,14.6,32.4,23.1,6.9,2,2.4,10.6,21.7,432,120.4,103.3,2.8,1.2,4,1.2,0.8,2.1,0
2641,Averyl Ugba,3,2016-17,F,Grambling,SWAC,30,901,24.9,0.592,0.555,15.9,21.8,18.6,5.2,2.2,3,14.7,21,403,118.5,100.8,2.5,1.4,4,-0.3,-1.4,-1.6,0
2642,Quinton Upshur,4,2014-15,G,Northern Arizona,Big Sky,38,1131,18.5,0.516,0.469,1.9,11.4,6.5,9.3,1.8,4,8.3,26.3,477,110.6,102.8,2.6,1.4,4,1.4,-0.6,0.8,0
2646,Demetrius Ward,3,10-Nov,G,Western Michigan,MAC,34,1087,18,0.552,0.499,4.4,10.8,7.6,15.3,2,0.3,14.7,22.7,451,113.2,102.4,2.7,1.3,4,3.4,-0.7,2.7,0
2647,Jordan Washington,4,2016-17,F,Iona,MAAC,35,760,32.2,0.589,0.553,12.3,25.3,19,7.5,2.3,1.9,12.7,39.4,558,111.7,99.7,2.7,1.3,4,0.6,-2.3,-1.7,0
2648,Jamel Waters,3,2014-15,G,Alabama State,SWAC,29,939,20.4,0.522,0.484,2.6,10,6.3,32.6,3.5,0.5,15.5,23.5,429,110.5,95.2,2.2,1.8,4,2.1,-0.9,1.2,0
2650,Glynn Watson Jr.,4,2018-19,G,Nebraska,Big Ten,36,1241,16.4,0.532,0.509,1.4,11.7,6.5,18.4,1.9,0.3,9.9,21.3,468,110.5,103.2,2.4,1.6,4,4.6,0.7,5.3,0
2652,Devonta White,2,11-Dec,G,Georgia State,CAA,34,1165,16.1,0.511,0.463,1.9,6,3.9,17.8,3.2,0.2,13.5,22.2,424,105.1,95.8,2,2,4,1.7,0,1.6,0
2653,Jake White,4,2015-16,F,Omaha,Summit,32,829,26,0.647,0.599,9.9,17.1,13.5,2.4,0.6,0.9,10.1,26.2,493,127.4,111.2,3.5,0.5,4,3,-4.8,-1.7,0
2654,Paul White,4,2018-19,F,Oregon,Pac-12,38,1026,17.2,0.565,0.539,4.9,12.1,8.6,10.8,1.8,2,11.4,20.9,377,113.5,98.2,2.2,1.8,4,3.3,2.3,5.6,0
2655,Jimmy Whitt,2,2017-18,G,Southern Methodist,AAC,33,1096,18,0.516,0.498,5.4,13.4,9.3,21.3,3.4,1.9,13.9,18.9,376,111.2,98.3,1.9,2,4,1.2,3.6,4.9,0
2656,Aubrey Williams,4,2016-17,F,Kennesaw State,A-Sun,32,1029,21.6,0.613,0.582,11.4,27.2,19.2,7.6,1.3,2.1,13.8,18.4,412,121.8,104.2,2.8,1.3,4,0.7,-0.2,0.6,0
2657,Micah Williams,4,10-Nov,G,East Tennessee State,A-Sun,35,1208,16.5,0.532,0.49,3.9,9.6,6.9,7.8,1.7,0.8,11.9,22.6,455,109,101.4,2.4,1.6,4,1.3,-0.9,0.4,0
2658,Ray Willis,3,11-Dec,G,North Carolina Central,MEAC,32,1036,19,0.559,0.47,4.6,17.6,11.1,17.8,2.4,2.5,20.8,26.3,467,103.6,93,1.9,2.1,4,-1.6,0.6,-1,0
2660,Tre'Von Willis,4,10-Nov,G,Nevada-Las Vegas,MWC,29,840,21.5,0.561,0.505,4.4,9.8,7.1,25.4,3.3,0.7,15,24.4,382,113.8,94.6,2.4,1.6,4,6.1,2.7,8.8,0
2661,Roger Woods,4,2015-16,F,Little Rock,Sun Belt,35,795,22.2,0.59,0.562,6.5,15.5,11.1,15.1,2.6,1.3,14.7,24.1,349,114.5,92.5,2.1,1.9,4,2.3,2.5,4.8,0
2662,Gabe York,3,2014-15,G,Arizona,Pac-12,37,856,17.2,0.611,0.576,0.9,9.9,5.6,9.8,1.5,1.7,11.7,19,296,121.2,94.4,2.2,1.7,4,6.1,3.1,9.2,0
2664,Antoine Young,3,10-Nov,G,Creighton,MVC,39,1393,16.5,0.496,0.441,1.5,7.1,4.4,29.5,1.7,0.1,13.7,23.5,557,108,107.3,2.9,1,4,1.8,-1.2,0.5,0
2666,Anthony Adger,4,2018-19,G,Florida Atlantic,CUSA,33,1068,16.6,0.526,0.474,2,12.1,7.1,17.2,1.8,0.2,12.4,25.6,484,107.2,98.4,2,1.9,3.9,2.7,-0.6,2.1,0
2667,C.J. Aiken,2,11-Dec,F,Saint Joseph's,A-10,34,1068,21.7,0.612,0.591,3.8,14.9,9.7,7.5,0.8,10.9,10.9,16.9,332,119.9,100.5,2.5,1.4,3.9,2.7,5.1,7.8,0
2668,Richmond Aririguzoh,3,2018-19,C,Princeton,Ivy,28,725,25.4,0.719,0.693,12.1,15.6,13.8,10.5,1.3,3,19.3,20.2,337,128.5,99.8,2.7,1.2,3.9,3.8,2.1,6,0
2669,Ben Averkamp,2,10-Nov,F,Loyola (IL),Horizon,31,940,20.9,0.549,0.507,7.4,13.3,10.3,11.5,1.4,5.7,9.6,20.4,356,118.9,101.3,2.6,1.2,3.9,2.5,2.5,5,0
2672,Kadeem Batts,3,2012-13,F,Providence,Big East,34,1079,19.5,0.524,0.478,10.2,17.1,13.4,7.9,1.2,2.2,13,25.9,465,107,99.5,2.4,1.5,3.9,1.4,1.3,2.7,0
2673,Anthony Beane,4,2015-16,G,Southern Illinois,MVC,32,1097,18.5,0.55,0.507,2.3,11.4,6.7,11.5,1.9,0,13.3,29.2,556,107.8,102.3,2.3,1.6,3.9,2.3,-1.5,0.9,0
2675,Korey Billbury,2,2013-14,G,Oral Roberts,Southland,33,1070,21.2,0.543,0.492,8.8,16.4,12.7,16.8,2.1,0.6,14.2,26.5,509,111.6,105.1,2.6,1.3,3.9,2.7,-0.8,1.9,0
2676,Tony Bishop,4,10-Nov,F,Texas State,Southland,32,811,25.9,0.594,0.573,11.5,23.2,17.2,7.7,2.4,4.2,12.1,22.3,396,119.1,97.7,2.5,1.4,3.9,1.3,1.1,2.4,0
2677,Gabe Blair,4,10-Nov,F,Wichita State,MVC,36,724,23.1,0.568,0.542,11.6,26.6,19.4,11.5,2.4,5.3,12.2,17.3,246,121.3,87.5,2,1.9,3.9,2.6,6.4,9,0
2678,Jordan Bowden,3,2018-19,G,Tennessee,SEC,36,1002,17.1,0.593,0.55,2.6,10.9,7.1,11.5,1.8,1.3,9.8,18,357,122.2,102.2,2.5,1.4,3.9,5.5,1.6,7.1,0
2680,Bolden Brace,3,2018-19,G,Northeastern,CAA,34,1066,17.9,0.626,0.594,3.2,21.2,12.4,16.2,1.8,0.9,13.7,16.1,352,123.4,104.8,2.7,1.2,3.9,3.2,1.3,4.5,0
2683,Alec Brown,4,2013-14,F,Green Bay,Horizon,30,909,22.7,0.569,0.536,8.5,12.8,10.8,7,1,10.9,13.8,26.2,412,110.2,95.1,1.9,2,3.9,1,3.7,4.6,0
2684,Charlie Brown,2,2018-19,F,Saint Joseph's,A-10,32,1139,21.9,0.55,0.496,6.4,13,9.7,10.1,1.7,2.7,9.6,28,577,110.2,107.1,2.8,1,3.9,3.6,-1,2.6,0
2686,C.J. Bryce,3,2018-19,G,North Carolina State,ACC,36,979,18.9,0.557,0.526,6.2,12.9,9.4,11.2,2.3,1.7,12.4,20.5,400,115.9,100,2.3,1.6,3.9,3.9,2.6,6.5,0
2688,Mike Caffey,4,2014-15,G,Cal State Long Beach,Big West,33,1073,21.5,0.532,0.503,2.2,11.9,7,28.4,3.5,0.6,14.9,28.7,520,106.3,100.3,2.3,1.6,3.9,4.5,1.3,5.8,0
2689,Travis Charles,4,2017-18,F,Albany (NY),AEC,31,896,21.8,0.605,0.554,7.9,15.3,11.6,5.3,1.1,1.6,12.8,24.3,410,119,103.3,2.7,1.2,3.9,0.4,-1.2,-0.8,0
2690,Zylan Cheatham,4,2018-19,F,Arizona State,Pac-12,34,1102,18.7,0.578,0.554,7.2,26.9,17.1,18.8,1.4,3,22.4,19.9,441,106.8,96.1,1.7,2.2,3.9,1.4,5.3,6.7,0
2691,Kenny Chery,3,2013-14,G,Baylor,Big 12,37,1068,18.3,0.543,0.481,1.4,8.9,5.3,33.3,2,0.2,16.2,22.6,456,117.6,108.5,2.9,1,3.9,5,0.1,5.1,0
2692,Tamenang Choh,2,2018-19,F,Brown,Ivy,32,998,19.5,0.56,0.518,8.3,22,15.4,22.4,2.3,3,22.5,23,450,104.1,91.6,1.5,2.4,3.9,-0.7,4.1,3.4,0
2693,Andrew Chrabascz,4,2016-17,F,Butler,Big East,34,1112,16.8,0.555,0.498,6,11.6,8.9,17.6,1.3,1,14,19.4,429,116.6,105.9,2.6,1.2,3.9,4.3,3,7.3,0
2695,David Collette,4,2017-18,F,Utah,Pac-12,34,738,27,0.654,0.634,8,16.1,12.3,14.9,2.1,3.5,12.8,26.6,374,121.9,99.2,2.6,1.3,3.9,4.5,3.8,8.4,0
2698,Jeremy Combs,2,2015-16,F,North Texas,CUSA,31,981,24.6,0.605,0.601,11.8,24.9,18.2,5.2,2.4,2.4,13.8,21.6,448,117.7,103.7,2.7,1.3,3.9,1,-0.2,0.8,0
2701,Chris Cooper,4,11-Dec,F,Old Dominion,CAA,36,1043,20.1,0.478,0.444,15.2,25.8,19.9,7.2,1.5,5.4,14.5,22.2,386,102.7,90.9,1.6,2.3,3.9,-1.3,2.7,1.4,0
2702,Isaac Copeland,3,2017-18,F,Nebraska,Big Ten,33,1012,19.9,0.557,0.533,6.1,15.1,10.8,8.1,1.6,3,8,20.8,388,116.3,100.8,2.3,1.6,3.9,3.4,2.2,5.6,0
2706,Chris Davenport,2,2014-15,F,North Florida,A-Sun,34,954,20.7,0.611,0.566,6,20.1,13.5,15.9,1.8,3.5,19.5,21.2,387,113.7,97.9,2.3,1.6,3.9,0,1.6,1.6,0
2707,Kyvon Davenport,4,2018-19,F,Memphis,AAC,36,940,20.2,0.569,0.556,9.9,19,14.4,7.4,1.4,3.3,11.7,22.8,438,114.7,98.8,2.3,1.6,3.9,3,1.7,4.7,0
2708,Quenton DeCosey,4,2015-16,G,Temple,AAC,33,1142,19.5,0.528,0.463,3.9,15.2,9.4,15.9,2.2,1.2,12.8,26.1,504,106.9,100.7,2.1,1.8,3.9,3.2,2.6,5.8,0
2709,Marcus Derrickson,3,2017-18,F,Georgetown,Big East,29,927,21.7,0.64,0.584,8.5,20,14.4,10.2,1.2,2.2,14.9,22.1,421,121.2,104,2.7,1.2,3.9,4.9,1.4,6.3,0
2710,Keron DeShields,4,2015-16,G,Tennessee State,OVC,30,983,19.5,0.543,0.496,1.2,10.1,5.7,20,2.3,0.7,12.1,26.3,474,111.6,101.1,2.4,1.5,3.9,2.1,-0.9,1.2,0
2712,Daniel Dixon,4,2016-17,G,William & Mary,CAA,30,884,24.6,0.627,0.576,3.6,13.9,9.1,17.1,1.4,1.1,12.7,29.5,520,119.3,110.2,3.2,0.6,3.9,5.9,-3.3,2.6,0
2713,Kristian Doolittle,3,2018-19,F,Oklahoma,Big 12,34,988,19.2,0.553,0.502,5.7,20.3,13.3,11.2,1.8,1.9,12.3,20.5,382,111.1,96.1,1.9,1.9,3.9,2.2,4.8,7,0
2715,Dave Dudzinski,4,2013-14,F,Holy Cross,Patriot,34,1057,21.6,0.549,0.501,10.2,19.6,14.8,5.1,1.4,2.7,12.2,27.3,479,109.9,101.9,2.3,1.6,3.9,0,-1.2,-1.2,0
2718,Eric Eaves,3,2015-16,G,South Carolina State,MEAC,34,961,24.3,0.613,0.556,3.1,8.4,5.8,15.4,1.6,0.9,13.9,29.8,544,116.6,110,3.3,0.7,3.9,3.2,-3.5,-0.3,0
2719,Justin Edwards,4,2015-16,G,Kansas State,Big 12,33,1042,20.1,0.536,0.5,8.8,13.4,11,19.2,3.3,1.8,15.6,22,424,110.6,98.5,2.1,1.8,3.9,5,4.8,9.8,0
2720,Junior Etou,4,2017-18,F,Tulsa,AAC,31,942,21.1,0.582,0.534,9.5,18.8,14.4,11.2,1,1,15.3,25.4,450,114.4,102.5,2.5,1.4,3.9,3.5,0.9,4.5,0
2724,Melvin Frazier,3,2017-18,G,Tulane,AAC,30,1032,22.4,0.631,0.61,3.9,14.6,9.3,17.9,3.6,2.2,16.9,22.2,442,114.2,101.8,2.4,1.6,3.9,4.2,2.7,6.9,0
2725,Kenny Frease,3,10-Nov,C,Xavier,A-10,32,911,21.2,0.572,0.549,8.2,21.6,15.2,9.7,0.6,3.3,11.6,21.6,351,115.1,97.5,2.3,1.5,3.9,1.6,2.3,3.9,0
2726,Jerome Frink,4,2016-17,F,Long Island University,NEC,31,1012,22.3,0.53,0.507,7.7,22.9,15.3,16.8,1.7,3.4,15.6,28.2,503,106.1,96.7,2,2,3.9,0.5,1.3,1.8,0
2727,Markelle Fultz,1,2016-17,G,Washington,Pac-12,25,892,28,0.558,0.535,4,13.9,8.9,35.5,2.5,3.1,13.4,31.4,582,116.3,110.7,3.3,0.6,3.9,7.7,1.4,9.1,0
2729,Sterling Gibbs,3,2014-15,G,Seton Hall,Big East,29,976,20.8,0.57,0.539,1.7,5.3,3.5,26,2.2,0,12.3,24.8,450,117.9,107.4,3.1,0.8,3.9,7.3,-1.3,6.1,0
2730,Marcus Gilbert,3,2014-15,F,Fairfield,MAAC,31,1075,21.2,0.582,0.523,5.5,13.9,9.7,10.3,1.5,1.9,13.3,26.3,461,111.8,104.7,2.8,1.1,3.9,3.8,-1.2,2.6,0
2732,Matt Glass,4,11-Dec,F,Vermont,AEC,36,935,18.9,0.561,0.528,5.7,12,8.8,9.3,0.6,0.9,8.6,24,376,116.9,101.3,2.8,1.2,3.9,3,-2.2,0.8,0
2733,Terell Gomez,2,2018-19,G,Cal State Northridge,Big West,34,1282,19.2,0.611,0.572,1,4.9,3,13.9,1.6,0,10.1,22.5,581,120.4,116.1,3.8,0.1,3.9,5.4,-5.1,0.3,0
2734,Jayvon Graves,2,2018-19,G,Buffalo,MAC,36,896,18.4,0.566,0.556,6.4,11.1,8.7,12.3,1.7,3.4,9.7,17.5,345,121,96.7,2.2,1.7,3.9,4.2,3.1,7.3,0
2735,Marcus Graves,4,2018-19,G,Sacramento State,Big Sky,31,1077,20.6,0.529,0.48,3,13.6,8.1,32.6,3.3,0.2,16.1,27.8,551,105.9,99.7,2.2,1.7,3.9,1.7,-0.6,1.1,0
2737,Eric Griffin,4,11-Dec,F,Campbell,Big South,31,939,26.5,0.621,0.629,10.9,23.2,17.2,10.4,1.8,8.5,17.9,25.4,453,112.2,100.7,2.6,1.2,3.9,1.8,1.8,3.6,0
2740,Demonte Harper,4,10-Nov,G,Morehead State,OVC,35,1180,18,0.518,0.492,4.6,13.6,9.1,23.4,2.8,1.1,20.7,28.6,533,100.8,96.2,1.8,2.1,3.9,0.5,0.7,1.1,0
2741,Rashad Hassan,4,2012-13,F,Savannah State,MEAC,34,869,21.8,0.567,0.546,7.7,22.8,14.8,8.3,1.5,3.2,17.1,28.2,375,103.1,86.4,1.7,2.3,3.9,-1.4,1.1,-0.3,0
2743,Kyndahl Hill,3,2015-16,F,Weber State,Big Sky,35,814,20,0.657,0.619,9.7,18.4,14.4,7,1.1,4.1,15.5,16.5,290,125.2,94.7,2.2,1.7,3.9,0.2,3.1,3.3,0
2745,Tra-Deon Hollins,3,2015-16,G,Omaha,Summit,32,1036,22.7,0.557,0.505,4.3,12.4,8.3,31.2,6.4,1.3,20.9,20,477,111.2,99.6,2.1,1.7,3.9,3.8,3.9,7.7,0
2746,Jonathan Holmes,3,2013-14,F,Texas,Big 12,32,776,25.9,0.598,0.556,12.1,19.2,15.6,8.4,1.3,5.6,13,24.1,381,122.1,100.4,2.6,1.3,3.9,6,3.4,9.4,0
2748,Braxton Huggins,4,2018-19,G,Fresno State,MWC,31,924,21.8,0.571,0.538,2.4,14,8.2,12.6,2.2,1.3,12.1,31.3,503,109.1,98.6,2.3,1.6,3.9,3.7,-0.5,3.2,0
2749,Jordan Hunter,4,2018-19,C,Saint Mary's (CA),WCC,34,794,23.6,0.597,0.588,13.3,22.6,18.1,8.5,2,6.4,14.5,17.8,294,122.7,94.9,2.3,1.6,3.9,3.2,6.2,9.4,0
2750,Charles Jackson,3,2014-15,C,Tennessee Tech,OVC,30,816,26.9,0.577,0.571,15.3,25.7,20.3,3.9,2.4,5.7,12.2,23.3,366,116.6,96.2,2.4,1.5,3.9,1.2,0.4,1.6,0
2751,A.J. Jacobson,2,2015-16,G,North Dakota State,Summit,33,1133,15.4,0.564,0.519,1.8,11.6,6.7,8.7,1,1.3,9.9,19.5,388,114.1,102.4,2.3,1.6,3.9,1,-0.2,0.7,0
2752,DaQuan Jeffries,4,2018-19,G,Tulsa,AAC,31,871,22.2,0.617,0.584,5.6,15.9,11.1,14.5,2,5.2,13.5,22.5,383,116.5,98.2,2.3,1.5,3.9,5,4.1,9.1,0
2754,Zane Johnson,3,10-Nov,G,Hawaii,WAC,31,1059,16.7,0.605,0.574,0.8,9,5.3,12.5,0.9,0.4,14,22.6,429,114.8,103.1,2.7,1.2,3.9,4.6,-1.5,3.1,0
2757,Jalen Jones,3,2014-15,G,Texas A&M,SEC,31,892,21.2,0.525,0.468,8,19.1,13.7,6.4,2.1,2.5,10,26.8,387,109.8,94.9,2.1,1.8,3.9,1.5,2.2,3.7,0
2758,Lazeric Jones,4,11-Dec,G,UCLA,Pac-12,32,1069,19.3,0.542,0.506,2,11.4,6.6,24.7,3.3,0.6,17,23.7,435,107,98.1,2.2,1.7,3.9,4.3,1.2,5.6,0
2759,Shakur Juiston,3,2017-18,F,Nevada-Las Vegas,MWC,33,1002,22.8,0.631,0.642,10.5,24,17.8,12.5,1.6,1.9,18,21.7,454,114.5,100.8,2.3,1.6,3.9,3.2,2.6,5.8,0
2760,Harper Kamp,4,11-Dec,F,University of California,Pac-12,34,1018,17.2,0.589,0.548,8.4,13.7,11.1,11.3,1.1,1.3,18,20.9,381,110.2,96.9,2.2,1.7,3.9,2.6,2.8,5.4,0
2761,Reggie Keely,4,2012-13,F,Ohio,MAC,34,788,24.4,0.622,0.602,7.8,17.1,12.3,6.9,1.9,3.8,11.3,24.8,352,117.7,95.2,2.5,1.4,3.9,1.7,1.3,2.9,0
2762,Trey Kell,2,2015-16,G,San Diego State,MWC,38,1084,16.2,0.525,0.496,3.1,11.3,7.3,11.5,1.7,0.7,12.9,24.6,434,105.9,95.5,1.7,2.2,3.9,2.2,1.5,3.7,0
2763,Tevin King,3,2017-18,G,South Dakota State,Summit,35,944,18.8,0.59,0.561,6,16.1,11.3,18.9,3.5,0.9,18.2,17.3,369,117.6,98.1,2.1,1.8,3.9,2.5,3.9,6.5,0
2766,Cyril Langevine,3,2018-19,F,Rhode Island,A-10,33,1071,21.8,0.583,0.567,11.5,23.9,17.5,6,1.3,5.1,19.2,24.2,466,105.8,96.4,1.9,2.1,3.9,-0.3,2.1,1.8,0
2769,DeAndre Liggins,3,10-Nov,G,Kentucky,SEC,38,1201,14.5,0.523,0.492,2.2,11.8,7.2,14.2,2.3,2.3,14.9,15.8,338,109.1,97,1.8,2.1,3.9,2.9,4.3,7.2,0
2770,Jalen Lindsey,3,2016-17,G,Providence,Big East,32,1026,15.7,0.639,0.616,4.4,11.4,7.9,4.3,1.6,0.9,7.9,14.9,299,126.6,101.9,2.4,1.5,3.9,5.1,2.2,7.4,0
2771,Adam Link,3,2012-13,F,Western Illinois,Summit,31,1017,16.8,0.572,0.512,6.4,11.1,8.8,10.1,2,2,16,19.2,308,110.2,94.9,2,1.9,3.9,-1,1.4,0.4,0
2772,Howard Little,4,10-Nov,G,Valparaiso,Horizon,35,1003,18.5,0.605,0.596,8.9,11.4,10.2,12.5,2.5,0.3,14.3,16.3,336,121,100.9,2.5,1.3,3.9,3.4,1.4,4.8,0
2773,Isaiah Livers,2,2018-19,F,Michigan,Big Ten,35,792,18.4,0.636,0.618,3.9,15.6,9.9,6.1,1.9,2.4,9.5,16.6,245,122.1,89.8,1.8,2,3.9,5.2,5.2,10.4,0
2777,Ryan Martin,4,2015-16,G,Tennessee Tech,OVC,31,895,22.6,0.626,0.553,9.9,21.1,15.9,8.3,1.1,2.4,14.9,23,429,121.8,105.4,2.9,1,3.9,2.1,-0.9,1.2,0
2778,Du'Vaughn Maxwell,4,2013-14,F,Hampton,MEAC,31,965,22.8,0.521,0.516,8.2,17,12.6,11.3,2.1,10.2,11.4,24.8,436,106.6,92.1,1.6,2.4,3.9,-1.3,5.5,4.2,0
2779,Julius Mays,3,11-Dec,G,Wright State,Horizon,30,1001,19.4,0.58,0.512,1.6,11.3,5.9,20.7,2.6,0.6,14.5,24.1,400,110.7,99.3,2.5,1.4,3.9,4,0.2,4.3,0
2781,James Michael McAdoo,3,2013-14,F,North Carolina,ACC,34,1023,20.3,0.484,0.458,9.5,14.9,12.2,11,2.5,3.2,8.8,25.5,473,108.4,98.1,1.9,1.9,3.9,1.8,3.9,5.7,0
