?Rk,Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,Drafted
29,Pascal Siakam,2,2015-16,F,New Mexico State,WAC,34,1176,31.5,0.569,0.542,13.4,23.6,18.8,12,1.7,6.5,10,29.1,649,119.6,86.7,4.4,3.4,7.8,3.4,4.6,8,1
30,Jordan Taylor,3,10-Nov,G,Wisconsin,Big Ten,34,1241,28.1,0.576,0.517,3.2,11.7,7.3,30.4,1.4,0.5,7.3,27.5,622,130.1,104.7,6.6,1.2,7.8,10.8,1,11.8,0
31,Mikal Bridges,3,2017-18,G,Villanova,Big East,40,1285,26.8,0.655,0.623,5.2,13.8,9.7,10.6,2.7,3.5,9.1,23.2,644,132.5,98.2,5.4,2.4,7.7,8.7,4.4,13.2,1
32,Jalen Brunson,3,2017-18,G,Villanova,Big East,40,1272,26.1,0.635,0.604,1.2,9.7,5.6,26.6,1.7,0.1,10.7,26.4,745,130.7,104.1,6,1.7,7.7,8.7,0.9,9.6,1
33,Jerian Grant,4,2014-15,G,Notre Dame,ACC,38,1408,25.5,0.592,0.536,1.3,8.3,5.1,33.6,2.8,1.4,13.4,24.2,706,125.6,104,6.1,1.6,7.7,8,0.9,8.9,1
34,Josh Hart,4,2016-17,G,Villanova,Big East,36,1193,28.2,0.619,0.59,5.8,17.6,12.2,18.8,2.9,1,11.5,27.8,648,125.1,94.5,5.1,2.6,7.7,8.2,4,12.1,1
36,Semi Ojeleye,3,2016-17,F,Southern Methodist,AAC,35,1195,26.5,0.621,0.572,8.4,15,11.9,9.3,0.8,1.6,8.5,25.9,595,131.8,98,5.5,2.2,7.7,7.9,0.2,8.1,1
37,Cassius Winston,3,2018-19,G,Michigan State,Big Ten,39,1308,24.9,0.591,0.54,1.3,8,5,44.8,1.8,0.3,15.5,28.6,784,122.1,100.2,5.7,2.1,7.7,9.2,1.1,10.3,0
38,Deandre Ayton,1,2017-18,F,Arizona,Pac-12,35,1172,32.6,0.65,0.625,13.5,28.2,21.4,10.2,1,6.1,11.3,26.6,666,130.3,98.8,5.5,2.1,7.6,6.8,4,10.9,1
39,Jae Crowder,4,11-Dec,F,Marquette,Big East,35,1153,28.8,0.598,0.568,7,22.6,14.7,13.5,4.3,3.1,7.9,23.4,551,125.7,85.9,4.5,3.1,7.6,8.8,5.9,14.7,1
40,Mike Daum,4,2018-19,F,South Dakota State,Summit,33,1099,33.6,0.623,0.572,8.8,28.3,19.6,10.9,1.2,3.5,9.8,33.6,786,124.2,97.1,5.6,2.1,7.6,4.6,-0.3,4.3,0
41,Kay Felder,3,2015-16,G,Oakland,Horizon,35,1286,28.7,0.572,0.502,2.2,9.7,6.1,50,2.9,0.5,13.9,31.3,947,122.8,105.8,6.2,1.4,7.6,9.1,-0.4,8.7,1
42,Buddy Hield,4,2015-16,G,Oklahoma,Big 12,37,1309,28.2,0.665,0.623,4,13,8.8,12.7,1.8,1.4,14,30.2,803,123.8,101.5,5.6,2,7.6,10.3,1.2,11.5,1
43,Brice Johnson,4,2015-16,F,North Carolina,ACC,40,1121,33,0.649,0.614,11.7,28.5,20.4,9.7,2.2,5.5,11.8,25,613,130.2,92.3,5,2.6,7.6,7.3,6.2,13.4,1
44,Taylor Smith,4,2012-13,F,Stephen F. Austin,Southland,32,1083,30.5,0.653,0.694,10.4,25.4,17.6,12.7,1.9,9.5,13.5,22.2,439,121.5,76.4,3.7,3.9,7.6,3.6,8,11.6,0
45,Chris Clemons,4,2018-19,G,Campbell,Big South,33,1208,33,0.61,0.55,2.4,14.5,8.3,19.3,2.4,1.1,9.4,39,888,120.1,104.4,6.1,1.4,7.5,9.4,-4.3,5,0
46,Ty Greene,4,2014-15,G,South Carolina Upstate,A-Sun,35,1191,27.2,0.579,0.543,2.8,7.2,5,13.6,3.8,0.7,6.9,28.2,614,125.5,95.8,5.2,2.3,7.5,5.7,-1.7,4,0
47,Frank Mason,4,2016-17,G,Kansas,Big 12,36,1301,25.5,0.622,0.573,2,10.5,6.4,26.1,2,0.2,12.4,25.6,745,128.6,103.5,5.8,1.7,7.5,9.2,1.5,10.7,1
48,Sam Merrill,3,2018-19,G,Utah State,MWC,35,1237,24.8,0.616,0.547,1.2,10.9,6.3,24,1.7,0.9,10,26.5,683,127.8,99.3,5.4,2.1,7.5,7.4,0.1,7.5,0
49,Domantas Sabonis,2,2015-16,F,Gonzaga,WCC,36,1149,29.3,0.654,0.618,11.7,28.2,20.7,11.3,1.1,2.7,16,25.6,617,124.6,91.2,4.6,2.8,7.5,5,4,9,1
50,Xavier Thames,4,2013-14,G,San Diego State,MWC,36,1126,26.5,0.557,0.478,2.1,8.5,5.3,23.7,3.3,0.5,8.2,28.6,607,124.8,91.6,4.7,2.8,7.5,7.9,2.2,10.1,1
