,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg
472,,,,,.269,0.8,2.9,.395,0.3,0.8,46,1.9,,,,,,,2.3,,,1.6,58,6.1
473,0.1,.143,0.0,.479,.477,1.3,2.6,.511,0.3,0.5,173,2.8,0.3,.353,0.1,,6.5,.677,4.4,.541,3.6,1.9,100,10.9
474,0.0,.103,0.0,.457,.457,3.3,7.1,.716,1.6,2.2,832,8.1,0.0,1.000,0.0,,10.6,.518,5.5,.692,5.4,3.8,34,14.8
475,0.1,.429,0.0,.641,.638,2.3,3.6,.684,0.6,0.8,135,5.1,0.0,,0.0,,4.7,.573,2.7,.619,2.8,1.7,38,7.1
476,0.0,,0.0,.431,.431,0.7,1.6,.692,0.3,0.4,36,1.6,,,,,,,,,,,,
477,0.0,,0.0,.450,.450,1.0,2.3,.561,0.4,0.8,53,2.5,0.0,,0.0,,6.0,.564,3.4,.486,4.0,1.9,105,8.8
478,0.0,,0.0,.475,.475,0.9,1.8,.667,0.4,0.5,22,2.1,0.0,.000,0.0,,8.6,.550,4.7,.727,5.4,3.9,59,13.4
479,0.0,,0.0,.190,.190,0.5,2.6,,0.0,0.0,8,1.0,0.0,.000,0.0,,6.5,.525,3.4,.548,3.3,1.8,127,8.6
480,0.3,.231,0.1,.461,.455,2.5,5.6,.744,1.3,1.7,130,6.4,,,,,12.8,.486,6.2,.748,4.9,3.7,123,16.2
481,0.0,.095,0.0,.501,.500,6.2,12.5,.736,3.4,4.7,1058,15.9,0.0,,0.0,,9.7,.612,5.9,.672,6.5,4.4,60,16.2
482,1.5,.355,0.5,.471,.448,5.4,12.0,.873,2.5,2.8,724,13.8,3.7,.380,1.4,,16.8,.484,8.1,.810,5.5,4.5,57,22.2
483,,,,,.344,2.6,7.6,.652,2.0,3.1,338,7.3,,,,,,,,,,,,
484,0.0,.000,0.0,.422,.422,2.1,5.0,.725,1.2,1.7,72,5.4,,,,,15.8,.448,7.1,.748,2.5,1.9,54,16.4
485,0.1,.222,0.0,.428,.427,4.5,10.6,.702,4.0,5.7,83,13.1,,,,,,,,,,,,
486,1.1,.366,0.4,.531,.438,0.9,2.2,.750,0.1,0.1,37,2.4,2.6,.353,0.9,,11.6,.487,5.6,.768,4.4,3.4,123,15.6
487,,,,,.266,1.3,4.7,.794,1.4,1.7,20,3.9,,,,,,,,,,,,
488,1.1,.305,0.3,.426,.407,2.7,6.6,.830,1.3,1.6,586,7.0,,,,,10.5,.467,4.9,.780,3.2,2.5,80,12.3
489,,,,,.383,5.0,13.0,.804,3.6,4.4,788,13.5,,,,,,,,,,,,
490,1.6,.273,0.4,.415,.360,1.4,3.9,.760,0.5,0.7,35,3.8,3.9,.392,1.5,,11.0,.462,5.1,.773,4.1,3.1,37,14.8
491,0.7,.297,0.2,.406,.369,1.1,2.9,.635,0.6,0.9,102,2.9,2.4,.358,0.9,,9.5,.464,4.4,.678,4.1,2.8,121,12.5
492,3.6,.333,1.2,.441,.344,2.1,6.2,.748,1.0,1.3,100,6.5,6.0,.333,2.0,,12.2,.403,4.9,.752,4.8,3.6,112,15.5
493,,,,,.302,0.8,2.7,.560,0.9,1.6,16,2.5,,,,,,,,,,,,
494,,,,,.455,0.5,1.0,,0.0,0.0,11,0.9,,,,,,,,,,,,
495,0.0,.000,0.0,.467,.467,2.8,6.0,.628,1.2,1.9,681,6.8,,,,,10.0,.570,5.7,.729,4.8,3.5,119,14.9
496,2.2,.284,0.6,.465,.425,3.3,7.7,.713,1.5,2.1,819,8.7,2.6,.356,0.9,,8.2,.480,4.0,.708,3.6,2.5,108,11.3
497,0.6,.250,0.1,.415,.372,0.6,1.7,.393,0.2,0.5,54,1.6,1.0,.220,0.2,,4.5,.456,2.1,.527,2.5,1.3,58,5.7
498,0.1,.077,0.0,.448,.448,2.5,5.7,.571,0.8,1.3,703,5.8,,,,,13.2,.412,5.4,.605,4.3,2.6,75,13.5
499,0.3,.248,0.1,.462,.459,5.0,10.9,.824,1.9,2.3,501,11.9,,,,,11.4,.566,6.5,.754,3.9,2.9,91,15.8
500,0.7,.254,0.2,.505,.490,3.1,6.3,.675,1.5,2.2,502,7.8,3.4,.340,1.2,,11.9,.462,5.5,.671,5.4,3.6,90,15.7
501,0.0,.167,0.0,.498,.498,3.0,5.9,.701,1.2,1.8,342,7.2,,,,,,,,,,,,
502,,,,,.340,4.0,11.9,.821,4.2,5.1,438,12.3,,,,,,,5.7,,,3.9,36,15.3
503,0.2,.324,0.1,.524,.519,3.9,7.6,.740,2.1,2.8,731,10.0,,,,,6.2,.538,3.3,.757,2.5,1.9,101,8.5
504,0.3,.244,0.1,.477,.475,5.7,11.9,.846,2.2,2.6,849,13.6,,,,,11.8,.517,6.1,.770,4.3,3.3,87,15.5
505,,,,,.442,4.5,10.2,.693,2.9,4.1,926,11.9,,,,,12.0,.401,4.8,.653,5.5,3.6,78,13.2
