,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg
923,0.0,,0.0,.500,.500,0.5,1.0,1.000,0.5,0.5,4,1.5,,,,,9.0,.495,4.5,.711,2.0,1.4,106,10.3
924,1.9,.340,0.7,.466,.407,2.3,5.6,.861,1.6,1.9,659,6.8,3.6,.340,1.2,,9.3,.440,4.1,.843,3.8,3.2,121,12.6
925,0.0,,0.0,.250,.250,0.3,1.1,.560,0.7,1.2,21,1.2,,,,,9.3,.524,4.9,.643,5.6,3.6,100,13.4
926,,,,,.431,2.2,5.1,.695,1.4,2.0,182,5.8,,,,,,,,,,,,
927,0.0,,0.0,.571,.571,1.4,2.5,.418,0.8,2.0,45,3.7,,,,,10.4,.578,6.0,.628,7.1,4.5,93,16.4
928,,,,,.318,2.0,6.2,.711,0.8,1.1,147,4.7,,,,,,,,,,,,
929,0.8,.384,0.3,.481,.431,1.3,3.0,.837,1.1,1.3,477,4.0,4.0,.346,1.4,,9.8,.415,4.1,.694,4.6,3.2,129,12.8
930,0.0,,0.0,.125,.125,1.0,8.0,.250,1.0,4.0,1,3.0,,,,,1.4,.429,0.6,.667,1.2,0.8,5,2.0
931,,,,,.438,2.3,5.3,.700,0.9,1.3,15,5.6,,,,,,,,,,,,
932,0.6,.382,0.2,.422,.369,0.8,2.1,.708,0.3,0.4,58,2.1,,,,,,,,,,,,
933,4.4,.346,1.5,.517,.419,3.3,7.9,.777,1.5,1.9,697,9.6,4.1,.350,1.4,,10.6,.492,5.2,.683,4.0,2.7,72,14.6
934,0.1,.238,0.0,.407,.404,2.1,5.2,.710,1.1,1.5,149,5.3,,,,,,,,,,,,
935,2.6,.287,0.8,.465,.412,2.9,7.1,.503,0.8,1.6,109,7.4,4.1,.341,1.4,,11.6,.459,5.3,.687,4.2,2.9,75,14.9
936,0.0,.000,0.0,.497,.497,4.0,8.1,.737,1.6,2.1,683,9.6,,,,,12.6,.581,7.3,.758,3.2,2.4,103,17.1
937,0.1,.295,0.0,.485,.484,6.8,14.1,.706,2.8,4.0,1183,16.4,,,,,12.2,.530,6.5,.775,4.6,3.5,85,16.4
938,1.7,.321,0.5,.423,.383,2.6,6.8,.726,1.2,1.6,199,6.9,3.9,.334,1.3,,12.7,.423,5.4,.699,4.7,3.3,103,15.3
939,0.5,.263,0.1,.452,.452,8.0,17.6,.730,5.2,7.1,770,21.2,,,,,20.1,.473,9.5,.628,9.2,5.8,69,24.8
940,7.0,.317,2.2,.465,.391,5.8,14.9,.840,1.8,2.1,24,15.6,5.7,.400,2.3,,14.8,.438,6.5,.846,5.8,4.9,27,20.1
941,0.9,.345,0.3,.498,.469,2.5,5.3,.649,0.5,0.8,715,5.8,0.0,.333,0.0,,7.1,.524,3.7,.693,3.2,2.2,139,9.6
942,,,,,.406,1.1,2.8,.636,0.5,0.9,358,2.8,,,,,,,,,,,,
943,0.7,.306,0.2,.402,.347,0.7,2.1,.674,0.7,1.0,84,2.3,2.5,.344,0.9,,8.5,.455,3.9,.754,5.8,4.4,98,13.0
944,0.0,,0.0,.259,.259,0.3,1.2,.000,0.0,0.1,23,0.6,0.0,,0.0,,2.0,.464,0.9,.490,1.3,0.6,120,2.5
945,0.0,,0.0,.390,.390,0.8,2.1,.722,1.3,1.8,20,2.9,,,,,,,,,,,,
946,,,,,.267,0.3,1.3,.667,0.2,0.3,12,0.8,,,,,,,,,,,,
947,0.0,.000,0.0,.473,.473,2.3,4.8,.538,0.8,1.5,674,5.4,,,,,14.0,.502,7.0,.600,3.5,2.1,81,16.2
948,0.1,.222,0.0,.446,.444,1.1,2.4,.743,0.5,0.7,147,2.7,0.0,.000,0.0,,10.4,.565,5.9,.780,6.3,4.9,126,16.7
949,,,,,.395,1.3,3.3,.774,2.3,3.0,123,4.9,,,,,,,,,,,,
950,2.9,.402,1.1,.513,.457,4.7,10.3,.843,1.1,1.4,1083,11.7,,.571,,,16.0,.505,8.1,.785,3.5,2.7,126,18.9
951,0.0,1.000,0.0,.545,.545,4.9,9.0,.642,3.2,4.9,527,12.9,,,,,,,,,,,,
952,0.0,,0.0,,,0.0,0.0,,0.0,0.0,1,0.0,4.8,.404,2.0,,10.7,.437,4.7,.758,2.9,2.2,101,13.5
953,0.4,.298,0.1,.463,.447,1.6,3.7,.825,1.1,1.3,667,4.5,0.1,.083,0.0,,6.3,.563,3.5,.738,3.1,2.3,119,9.4
954,4.2,.440,1.9,.590,.479,4.0,8.4,.853,1.1,1.3,341,11.0,5.9,.394,2.3,,11.2,.431,4.8,.827,3.5,2.9,141,14.9
955,8.8,.431,3.8,.582,.475,8.3,17.6,.907,3.8,4.2,791,24.3,9.7,.412,4.0,,17.9,.467,8.4,.876,5.3,4.6,104,25.3
956,0.1,.000,0.0,.313,.313,0.4,1.1,.000,0.0,0.3,14,0.7,,,,,,,,,,,,
957,0.1,.000,0.0,.414,.414,1.5,3.5,.735,0.5,0.6,180,3.4,,,,,13.5,.454,6.1,.778,3.9,3.1,80,15.3
958,0.0,,0.0,.667,.667,0.8,1.2,.444,0.4,0.9,10,2.0,,,,,,,,,,,,
959,,,,,.368,1.0,2.7,1.000,0.5,0.5,14,2.5,,,,,,,,,,,,
960,0.3,.158,0.0,.456,.454,5.6,12.2,.779,3.0,3.8,528,14.1,,,,,14.3,.551,7.9,.745,6.4,4.7,90,20.5
961,0.0,.083,0.0,.521,.521,3.2,6.1,.706,1.3,1.9,886,7.7,0.0,,0.0,,5.5,.537,3.0,.539,2.2,1.2,59,7.1
962,,,,,.283,3.6,12.6,.698,2.5,3.6,146,9.6,,,,,,,,,,,,
963,0.0,.125,0.0,.498,.498,2.8,5.7,.626,1.8,2.8,987,7.4,0.0,,0.0,,8.8,.587,5.2,.566,5.1,2.9,93,13.2
964,3.0,.358,1.1,.474,.444,6.2,14.0,.820,2.6,3.2,960,15.9,,,,,17.0,.470,8.0,.834,4.5,3.7,80,19.7
965,0.2,.167,0.0,.484,.484,7.7,15.9,.780,3.1,4.0,839,18.5,,,,,,,,,,,,
966,1.3,.311,0.4,.479,.444,2.6,5.9,.793,2.0,2.5,872,7.6,1.9,.396,0.8,,11.4,.515,5.9,.758,4.8,3.6,111,16.1
967,0.1,.500,0.0,.361,.333,0.3,0.9,,0.0,0.0,21,0.6,0.6,.260,0.1,,6.3,.559,3.5,.611,1.8,1.1,127,8.3
968,2.4,.316,0.8,.458,.403,2.8,6.9,.743,0.8,1.0,200,7.1,,,,,,,,,,,,
969,0.8,.235,0.2,.464,.451,3.2,7.2,.721,1.2,1.7,548,7.9,2.0,.296,0.6,,10.8,.496,5.4,.646,3.8,2.4,111,13.8
970,0.1,.088,0.0,.468,.468,7.3,15.6,.657,3.8,5.8,639,18.4,,,,,15.9,.484,7.7,.674,6.7,4.5,77,20.0
971,4.1,.395,1.6,.546,.401,2.3,5.6,.799,0.4,0.5,339,6.6,5.2,.386,2.0,,6.1,.389,2.4,.782,0.7,0.5,125,7.3
972,4.2,.379,1.6,.518,.439,4.4,10.1,.789,2.3,3.0,75,12.8,,,,,,,,,,,,
973,0.1,.171,0.0,.540,.540,8.6,15.8,.818,7.2,8.7,955,24.3,,,,,16.6,.562,9.3,.800,8.9,7.2,86,25.8
974,,,,,.167,0.3,1.5,.556,0.4,0.8,12,0.9,,,,,,,,,,,,
975,,,,,.321,3.0,9.3,.688,2.1,3.1,26,8.1,,,,,,,,,,,,
976,0.0,.182,0.0,.436,.435,3.7,8.4,.695,1.9,2.7,223,9.2,,,,,,,,,,,,
977,0.0,,0.0,.396,.396,0.8,2.0,.570,0.6,1.0,110,2.1,0.0,,0.0,,9.8,.544,5.3,.529,6.1,3.2,60,13.8
978,,,,,.471,1.6,3.3,.550,0.5,0.9,47,3.6,,,,,,,,,,,,
979,1.0,.286,0.3,.429,.286,0.3,1.0,1.000,0.4,0.4,7,1.3,4.8,.408,2.0,,8.3,.459,3.8,.841,2.2,1.8,95,11.4
980,0.0,,0.0,.367,.367,1.0,2.7,.571,0.4,0.6,11,2.4,,,,,,,,,,,,
981,,,,,.200,0.6,3.0,.857,1.2,1.4,5,2.4,,,,,20.6,.481,9.9,.771,5.6,4.3,72,24.2
982,1.4,.316,0.5,.481,.414,1.4,3.4,.818,0.2,0.2,55,3.4,,,,,,,,,,,,
983,0.0,.143,0.0,.532,.532,7.0,13.1,.747,5.0,6.7,548,19.0,,.000,,,9.1,.620,5.6,.700,4.1,2.9,135,14.2
984,0.0,,0.0,.400,.400,1.0,2.5,1.000,1.3,1.3,4,3.3,,,,,,,,,,,,
985,0.0,.000,0.0,.446,.446,1.8,4.1,.817,1.3,1.7,109,5.0,,,,,,,,,,,,
986,0.0,,0.0,.425,.425,1.3,3.1,.578,0.5,0.9,52,3.1,0.2,.211,0.0,,8.1,.467,3.8,.717,3.5,2.5,126,10.1
987,,,,,.378,5.0,13.1,.759,4.4,5.7,462,14.3,,,,,,,4.2,,,2.7,59,11.2
988,0.6,.227,0.1,.430,.411,1.4,3.4,.644,0.7,1.2,78,3.7,0.1,.333,0.0,,8.6,.522,4.5,.660,5.1,3.4,135,12.4
989,1.6,.304,0.5,.528,.514,8.9,17.3,.796,5.6,7.0,591,23.8,0.5,.150,0.1,,8.4,.623,5.3,.709,5.1,3.6,40,14.2
990,0.0,.087,0.0,.448,.448,3.5,7.9,.727,3.0,4.1,903,10.0,0.0,.000,0.0,,6.1,.538,3.3,.600,4.3,2.6,122,9.2
991,,,,,.281,1.8,6.5,.635,1.2,1.9,59,4.9,,,,,,,,,,,,
992,5.0,.320,1.6,.465,.409,5.9,14.3,.711,2.8,3.9,835,16.1,3.1,.328,1.0,,9.7,.503,4.9,.631,4.5,2.9,59,13.6
993,0.0,,0.0,.356,.356,0.5,1.5,.462,0.3,0.7,40,1.4,0.0,,0.0,,7.5,.525,3.9,.634,3.9,2.5,86,10.3
994,,,,,.240,0.7,3.1,.341,0.3,0.9,47,1.8,,,,,,,,,,,,
995,,,,,.214,0.7,3.1,.667,0.4,0.7,9,1.8,,,,,,,,,,,,
996,0.9,.321,0.3,.534,.510,3.1,6.1,.828,1.7,2.1,961,8.2,,,,,8.6,.535,4.6,.799,3.8,3.0,84,12.2
997,0.0,.333,0.0,.321,.317,0.6,1.9,.735,0.7,1.0,68,1.9,0.3,.205,0.1,,5.0,.465,2.3,.686,3.0,2.1,141,6.8
998,0.3,.170,0.0,.455,.451,2.3,5.2,.737,0.6,0.8,415,5.3,,,,,12.6,.514,6.5,.754,3.9,2.9,105,16.0
999,,,,,.408,3.5,8.6,.806,1.9,2.4,144,8.9,,,,,,,,,,,,
1000,0.0,.000,0.0,.530,.530,3.3,6.2,.562,1.4,2.5,1094,8.0,0.0,.000,0.0,,8.9,.588,5.2,.590,5.4,3.2,121,13.6
1001,0.0,.000,0.0,.599,.599,1.9,3.1,.635,0.5,0.8,107,4.2,0.0,,0.0,,5.7,.598,3.4,.605,1.1,0.7,35,7.5
1002,,,,,.423,3.3,7.9,.730,2.0,2.7,340,8.6,,,,,16.0,.509,8.2,.745,5.9,4.4,84,20.7
1003,0.0,.000,0.0,.567,.567,2.5,4.5,.584,1.1,1.8,702,6.1,0.0,,0.0,,6.3,.548,3.4,.623,3.7,2.3,61,9.2
1004,2.0,.352,0.7,.471,.394,1.8,4.5,.787,0.6,0.8,226,4.9,5.8,.368,2.1,,12.3,.465,5.7,.725,5.7,4.1,72,17.6
1005,0.1,.182,0.0,.448,.447,3.1,7.0,.700,1.7,2.4,514,8.0,0.9,.310,0.3,,12.0,.496,6.0,.694,6.5,4.5,95,16.7
1006,0.0,,0.0,.436,.436,1.6,3.8,.689,0.7,1.0,44,4.0,,,,,10.1,.584,5.9,.613,3.5,2.2,108,14.0
1007,2.4,.441,1.1,.537,.458,3.1,6.7,.837,0.9,1.1,685,8.2,3.3,.435,1.4,,8.2,.498,4.1,.819,2.7,2.2,137,11.8
1008,,,,,.461,2.5,5.5,.674,1.6,2.4,597,6.7,,,,,10.9,.489,5.3,.630,5.9,3.7,77,14.4
1009,0.4,.176,0.1,.450,.448,4.9,11.0,.821,3.0,3.7,750,12.9,,,,,16.5,.454,7.5,.763,5.6,4.3,81,19.3
1010,1.0,.329,0.3,.450,.373,0.8,2.2,.724,0.3,0.4,67,2.3,1.9,.278,0.5,,9.5,.497,4.7,.642,3.3,2.1,119,12.1
1011,0.1,.189,0.0,.484,.482,3.3,6.9,.607,1.1,1.8,453,7.8,,,,,,,,,,,,
1012,0.3,.100,0.0,.485,.480,1.5,3.1,.824,0.8,1.0,33,3.8,,,,,7.7,.501,3.9,.751,2.3,1.7,110,9.4
1013,0.5,.246,0.1,.455,.442,2.1,4.7,.655,1.2,1.9,230,5.5,2.0,.325,0.6,,13.3,.497,6.6,.639,6.3,4.0,58,17.9
1014,,,,,.376,2.3,6.0,.709,0.8,1.1,190,5.3,,,,,17.3,.473,8.2,.765,6.0,4.6,54,20.9
1015,0.1,.000,0.0,.455,.455,2.0,4.3,.835,1.1,1.3,309,5.0,,,,,,,,,,,,
1016,0.6,.261,0.2,.425,.424,3.9,9.1,.765,2.4,3.1,242,10.1,,,,,,,,,,,,
1017,0.0,,0.0,.400,.400,0.5,1.3,.600,0.8,1.3,8,1.8,,,,,4.2,.466,2.0,.658,2.5,1.7,45,5.6
1018,0.0,,0.0,.200,.200,0.5,2.5,.200,0.5,2.5,2,1.5,,,,,12.3,.498,6.1,.644,4.2,2.7,74,16.3
1019,0.0,.000,0.0,.402,.402,1.1,2.7,.732,0.5,0.7,82,2.6,0.4,.271,0.1,,8.8,.538,4.7,.763,4.8,3.7,130,13.2
1020,,,,,.409,3.6,8.9,.677,0.7,1.0,150,8.0,,,,,,,,,,,,
1021,,,,,.000,0.0,2.0,1.000,0.7,0.7,3,0.7,,,,,10.3,.367,3.8,.599,3.6,2.2,53,9.8
1022,2.2,.361,0.8,.480,.446,5.1,11.4,.781,2.5,3.2,736,13.5,2.9,.308,0.9,,12.0,.466,5.6,.698,4.2,2.9,31,15.0
1023,0.1,.250,0.0,.422,.420,2.0,4.8,.571,1.3,2.3,78,5.3,,,,,12.1,.494,6.0,.670,3.6,2.4,52,14.3
1024,3.9,.364,1.4,.541,.437,3.0,6.9,.828,0.7,0.9,153,8.2,4.3,.339,1.5,,10.2,.445,4.5,.717,2.7,2.0,121,12.5
1025,0.0,.158,0.0,.473,.472,2.5,5.3,.605,1.4,2.3,480,6.4,,,,,,,,,,,,
1026,0.0,,0.0,.000,.000,0.0,1.0,,0.0,0.0,1,0.0,0.3,.269,0.1,,8.3,.614,5.1,.646,4.7,3.1,102,13.4
1027,,,,,.377,1.9,5.1,.695,1.0,1.4,325,4.8,,,,,,,,,,,,
1028,0.7,.272,0.2,.516,.511,7.9,15.4,.851,3.0,3.6,1033,18.9,,,,,11.9,.531,6.3,.773,3.9,3.0,119,15.7
1029,0.0,.125,0.0,.480,.480,4.5,9.4,.691,3.1,4.5,447,12.2,,,,,,,,,,,,
1030,0.0,,0.0,.467,.467,0.9,1.9,.500,0.5,1.0,8,2.3,,,,,,,,,,,,
1031,1.5,.167,0.3,.250,.167,0.3,1.5,,0.0,0.0,4,0.8,4.0,.407,1.6,,5.4,.433,2.3,.769,1.1,0.9,142,7.1
1032,0.0,.133,0.0,.572,.572,4.8,8.4,.685,2.4,3.6,726,12.0,,,,,,,,,,,,
1033,1.0,.330,0.3,.474,.456,4.4,9.6,.857,2.0,2.3,541,11.1,,.352,,,15.2,.508,7.7,.790,4.6,3.6,133,19.2
1034,0.1,.200,0.0,.472,.470,2.5,5.3,.688,0.6,0.8,57,5.5,,,,,16.2,.459,7.4,.722,3.4,2.4,101,17.3
1035,0.0,,0.0,.400,.400,0.3,0.8,1.000,0.2,0.2,6,0.8,0.1,.000,0.0,,7.8,.559,4.4,.558,2.4,1.4,130,10.1
1036,0.0,,0.0,.583,.583,1.8,3.0,.500,0.3,0.5,4,3.8,,,,,,,,,,,,
1037,0.3,.143,0.0,.350,.346,2.2,6.3,.581,1.2,2.0,21,5.6,,,,,,,,,,,,
1038,0.7,.500,0.3,.533,.467,1.2,2.5,1.000,0.2,0.2,6,2.8,1.5,.295,0.4,,14.2,.533,7.6,.732,5.2,3.8,60,19.4
1039,3.4,.345,1.2,.462,.406,4.2,10.4,.739,2.6,3.6,483,12.3,4.6,.384,1.8,,13.7,.479,6.6,.747,5.3,3.9,127,18.9
1040,1.8,.351,0.6,.469,.402,1.9,4.8,.778,0.7,0.9,293,5.2,2.2,.422,0.9,,8.6,.477,4.1,.790,3.1,2.5,67,11.6
1041,0.1,.118,0.0,.491,.491,2.6,5.3,.681,1.6,2.4,328,6.8,,,,,7.1,.555,4.0,.648,3.3,2.1,114,10.1
1042,1.1,.363,0.4,.491,.429,1.4,3.3,.835,0.6,0.7,119,3.8,,,,,,,,,,,,
1043,0.0,,0.0,.500,.500,0.4,0.8,.667,0.5,0.8,8,1.3,,,,,,,,,,,,
1044,,,,,.432,6.5,15.1,.699,3.0,4.3,875,16.1,,,,,24.0,.423,10.1,.612,7.4,4.5,80,24.8
1045,0.0,.000,0.0,.507,.507,1.9,3.8,.621,1.0,1.6,587,4.8,0.1,.333,0.0,,7.4,.531,3.9,.663,3.5,2.3,128,10.2
1046,,,,,.476,1.2,2.5,.686,1.4,2.1,17,3.8,,,,,,,,,,,,
1047,0.1,.200,0.0,.478,.477,2.8,5.8,.735,1.4,1.9,119,7.0,,,,,,,,,,,,
1048,1.5,.283,0.4,.475,.462,7.3,15.8,.835,5.3,6.4,907,20.3,1.0,.167,0.2,,10.5,.523,5.5,.646,4.2,2.7,35,13.9
1049,,,,,.240,1.2,5.0,.714,1.0,1.4,5,3.4,,,,,,,,,,,,
1050,0.1,1.000,0.1,.227,.182,0.3,1.6,.714,0.7,1.0,7,1.4,,,,,8.0,.528,4.2,.741,3.0,2.3,113,10.7
1051,1.1,.167,0.2,.500,.481,2.4,4.9,.818,1.1,1.4,16,6.1,,,,,,,,,,,,
1052,1.1,.342,0.4,.565,.526,2.6,4.9,.735,0.9,1.3,441,6.4,0.1,.000,0.0,,5.8,.520,3.0,.614,1.7,1.1,51,7.1
1053,0.0,.000,0.0,.357,.357,2.4,6.7,.747,1.0,1.3,58,5.7,,,,,,,,,,,,
1054,,,,,.402,3.0,7.5,.794,2.1,2.6,190,8.1,,,,,18.4,.445,8.2,.828,7.7,6.4,68,22.7
1055,2.2,.378,0.8,.473,.411,2.7,6.5,.779,1.8,2.4,402,8.0,6.3,.389,2.5,,13.9,.442,6.1,.822,5.8,4.8,128,19.5
1056,,,,,.400,0.6,1.5,.333,0.2,0.6,10,1.4,,,,,,,,,,,,
1057,2.3,.375,0.9,.493,.406,2.0,4.9,.524,0.8,1.5,14,5.6,3.1,.336,1.0,,8.8,.429,3.8,.684,3.3,2.3,117,10.8
1058,1.5,.288,0.4,.525,.478,2.2,4.7,.606,0.5,0.8,201,5.4,3.6,.348,1.3,,9.0,.493,4.4,.695,2.8,2.0,113,12.1
1059,0.9,.359,0.3,.495,.475,3.7,7.8,.840,1.4,1.7,771,9.1,,.447,,,6.6,.502,3.3,.825,2.2,1.8,103,9.1
1060,1.8,.308,0.6,.431,.377,2.0,5.3,.805,1.2,1.5,127,5.7,5.3,.363,1.9,,11.7,.401,4.7,.845,6.3,5.3,136,16.6
1061,0.0,.143,0.0,.528,.528,4.5,8.5,.691,2.0,2.9,413,11.0,0.0,.000,0.0,,8.4,.594,5.0,.691,3.5,2.4,96,12.4
1062,3.7,.365,1.3,.494,.401,2.9,7.2,.758,1.0,1.3,507,8.1,,,,,,,,,,,,
1063,0.0,,0.0,.200,.200,0.5,2.5,.500,0.5,1.0,2,1.5,0.0,.000,0.0,,9.1,.538,4.9,.539,4.3,2.3,132,12.1
1064,2.5,.343,0.9,.459,.408,3.4,8.4,.769,1.4,1.8,545,9.1,5.4,.397,2.1,,10.8,.474,5.1,.709,2.6,1.8,133,14.2
1065,2.5,.364,0.9,.474,.386,2.0,5.1,.840,0.7,0.8,447,5.5,5.6,.378,2.1,,10.5,.415,4.3,.860,4.0,3.4,136,14.2
1066,0.1,.000,0.0,.333,.333,0.5,1.4,.800,0.3,0.3,31,1.2,,.396,,,12.6,.506,6.4,.770,5.3,4.0,129,17.9
1067,0.0,.000,0.0,.459,.459,1.9,4.2,.580,0.9,1.5,206,4.7,,,,,7.7,.553,4.2,.618,2.9,1.8,76,10.3
1068,0.2,.333,0.1,.512,.500,1.1,2.1,.762,0.8,1.1,20,3.0,5.1,.394,2.0,,11.4,.455,5.2,.695,4.0,2.7,115,15.1
1069,,,,,.407,1.9,4.6,.661,1.2,1.9,315,5.0,,,,,,,,,,,,
1070,2.2,.332,0.7,.485,.456,5.7,12.5,.769,2.7,3.5,902,14.8,3.0,.360,1.1,,11.9,.476,5.7,.710,3.7,2.6,37,15.1
1071,0.1,.300,0.0,.435,.429,1.1,2.7,.644,0.5,0.8,95,2.8,,,,,7.5,.513,3.9,.588,2.2,1.3,117,9.0
1072,,,,,.400,2.0,5.0,1.000,1.0,1.0,1,5.0,,,,,,,,,,,,
1073,1.8,.143,0.3,.367,.333,1.3,3.8,.667,0.5,0.8,8,3.3,2.9,.349,1.0,,8.0,.428,3.4,.789,3.6,2.8,133,10.7
1074,0.0,.214,0.0,.473,.473,4.9,10.4,.779,1.6,2.1,413,11.5,,,,,15.4,.535,8.3,.680,4.8,3.2,84,19.7
1075,,,,,.419,2.0,4.8,.786,0.8,1.0,107,4.8,,,,,,,,,,,,
1076,1.8,.500,0.9,.636,.485,1.5,3.0,.800,0.4,0.5,11,4.2,3.3,.397,1.3,,7.2,.459,3.3,.856,2.8,2.4,89,10.3
1077,,,,,.167,0.3,1.9,.450,0.5,1.1,19,1.1,,,,,,,,,,,,
1078,,,,,.366,2.7,7.3,.742,1.8,2.4,210,7.1,,,,,16.3,.487,7.9,.802,5.2,4.2,78,20.1
1079,,,,,.415,4.1,9.8,.902,1.5,1.6,312,9.6,,,,,18.8,.468,8.8,.812,3.5,2.9,86,20.5
1080,4.3,.349,1.5,.528,.432,3.4,7.8,.728,0.8,1.1,159,9.0,4.0,.378,1.5,,7.6,.469,3.6,.705,2.2,1.6,85,10.2
1081,0.6,.125,0.1,.413,.400,1.1,2.9,.786,0.8,1.0,14,3.1,0.6,.337,0.2,,5.6,.524,3.0,.720,1.8,1.3,134,7.4
1082,0.5,.190,0.1,.386,.372,1.3,3.4,.672,0.5,0.7,82,3.1,4.7,.377,1.8,,11.8,.480,5.7,.774,3.1,2.4,122,15.5
1083,0.0,.286,0.0,.600,.598,2.2,3.7,.772,0.8,1.1,180,5.3,0.0,,0.0,,2.1,.569,1.2,.556,1.0,0.6,27,3.0
1084,1.1,.291,0.3,.499,.473,2.9,6.2,.631,1.3,2.1,171,7.5,2.1,.338,0.7,,8.5,.428,3.6,.616,3.4,2.1,37,10.0
1085,1.3,.336,0.4,.524,.493,3.6,7.2,.717,1.0,1.4,1064,8.6,,,,,,,,,,,,
1086,2.2,.301,0.7,.450,.357,1.2,3.5,.650,0.4,0.6,187,3.5,2.2,.343,0.8,,11.9,.456,5.4,.650,5.9,3.8,45,15.5
1087,0.2,.000,0.0,.250,.250,0.2,0.7,.600,0.5,0.8,6,0.8,4.9,.380,1.9,,12.4,.448,5.5,.740,3.9,2.9,93,15.9
1088,1.8,.341,0.6,.460,.401,2.0,5.1,.831,1.2,1.4,300,5.8,4.8,.462,2.2,,8.7,.451,3.9,.854,3.8,3.3,97,13.3
1089,0.5,.333,0.2,.475,.400,0.4,1.1,.750,0.2,0.2,19,1.2,0.7,.351,0.2,,6.9,.483,3.3,.630,3.8,2.4,55,9.3
1090,,,,,.366,0.7,1.8,.625,0.7,1.0,23,2.0,,,,,,,,,,,,
1091,3.4,.402,1.4,.483,.432,5.8,13.3,.784,2.5,3.2,212,15.4,3.2,.367,1.2,,11.2,.458,5.1,.728,3.2,2.3,130,13.8
1092,0.3,.133,0.0,.355,.350,1.2,3.5,.762,0.3,0.4,58,2.8,,,,,,,,,,,,
1093,,,,,.470,2.7,5.7,.745,0.8,1.1,321,6.1,,,,,14.9,.480,7.1,.605,4.5,2.7,78,17.0
1094,,,,,.294,0.9,3.0,.681,1.0,1.5,45,2.8,,,,,,,,,,,,
1095,0.0,,0.0,.359,.359,0.7,1.9,.615,0.4,0.6,21,1.7,,,,,,,,,,,,
1096,2.6,.353,0.9,.495,.388,1.7,4.3,.847,0.5,0.6,179,4.8,5.7,.413,2.4,,10.2,.416,4.3,.837,3.8,3.2,120,14.1
1097,0.8,.358,0.3,.523,.500,2.9,5.8,.791,1.6,2.0,577,7.6,0.0,.333,0.0,,6.1,.545,3.3,.640,2.7,1.7,102,8.3
1098,,,,,.417,4.1,9.7,.697,1.9,2.8,706,10.0,,,,,11.1,.433,4.8,.571,5.5,3.1,69,12.7
1099,0.1,.194,0.0,.463,.462,2.6,5.5,.735,1.0,1.3,842,6.1,,,,,14.6,.441,6.5,.668,5.1,3.4,72,16.3
1100,0.0,.000,0.0,.383,.383,2.9,7.5,.670,1.1,1.6,65,6.8,,,,,,,,,,,,
1101,0.0,,0.0,.333,.333,0.3,1.0,1.000,0.7,0.7,3,1.3,,,,,,,,,,,,
1102,0.1,.000,0.0,.367,.367,0.9,2.4,.652,0.5,0.7,33,2.2,,,,,10.9,.513,5.6,.768,5.1,3.9,115,15.1
1103,,,,,.197,1.9,9.9,.667,1.3,1.9,57,5.2,,,,,,,,,,,,
1104,,,,,.182,0.5,2.5,.727,0.7,1.0,22,1.6,,,,,,,,,,,,
1105,0.2,.111,0.0,.409,.406,1.3,3.2,.872,0.8,0.9,45,3.4,,.343,,,12.0,.450,5.4,.697,3.0,2.1,118,14.0
1106,,,,,.415,0.9,2.3,.550,0.6,1.1,18,2.5,,,,,,,,,,,,
1107,0.0,,0.0,.316,.316,0.5,1.7,.875,0.6,0.7,11,1.7,,,,,,,,,,,,
1108,,,,,.369,1.8,5.0,.610,0.8,1.2,220,4.4,,,,,,,,,,,,
1109,4.4,.318,1.4,.476,.408,4.1,10.2,.796,3.2,4.0,346,12.8,3.5,.386,1.3,,8.0,.420,3.4,.830,5.9,4.9,86,13.0
1110,0.0,.500,0.0,.510,.509,2.2,4.3,.786,1.6,2.1,225,6.0,1.2,.387,0.5,,11.9,.571,6.8,.786,9.4,7.4,91,21.4
1111,0.0,.167,0.0,.428,.427,0.8,2.0,.467,0.3,0.6,601,2.0,,,,,,,,,,,,
1112,,,,,.506,5.3,10.5,.758,3.2,4.2,652,13.8,,,,,16.4,.553,9.0,.819,12.4,10.2,70,28.3
1113,,,,,.095,0.3,3.0,.583,1.0,1.7,7,1.6,,,,,,,,,,,,
1114,0.4,.235,0.1,.500,.495,4.6,9.3,.692,2.5,3.7,1134,11.8,,,,,,,,,,,,
1115,2.2,.341,0.8,.461,.413,3.2,7.8,.833,1.3,1.5,436,8.4,4.4,.389,1.7,,12.1,.468,5.7,.850,3.6,3.0,141,16.1
1116,,,,,.222,0.7,3.0,.600,0.3,0.6,9,1.7,,,,,,,,,,,,
1117,0.0,.125,0.0,.439,.439,2.1,4.8,.791,0.7,0.8,587,4.9,0.4,.404,0.2,,7.8,.491,3.9,.784,4.5,3.5,133,11.4
1118,,,,,.311,2.1,6.7,.734,2.3,3.1,77,6.4,,,,,,,,,,,,
1119,,,,,.286,3.2,11.3,.662,2.0,3.0,196,8.4,,,,,,,,,,,,
