fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
3.7,.302,1.1,0.4,.800,0.3,55,6-4,1.2,3.3,-5.32,1.5
8.2,.491,4.0,1.9,.576,1.1,106,,2.7,9.2,3.47,6.5
6.7,.422,2.8,2.5,.797,2.0,28,6-5,1.6,8.4,2.65,2.9
1.6,.343,0.5,1.3,.436,0.5,44,6-5,0.3,1.6,-5.83,1.9
2.0,.167,0.3,0.3,.000,0.0,3,,0.7,0.7,2.27,0.3
9.4,.389,3.7,2.7,.842,2.3,122,6-2,1.6,11.8,-4.01,3.1
1.6,.451,0.7,1.2,.634,0.7,87,6-8,1.0,2.2,8.91,1.3
0.0,,0.0,0.0,,0.0,5,,0.0,0.0,-3.14,0.4
13.3,.434,5.8,5.5,.707,3.9,51,6-4,3.2,15.5,-4.07,10.7
,,,,,,,,,,-1.88,
1.3,.293,0.4,0.6,.576,0.3,60,6-8,1.7,1.1,7.12,1.2
3.0,.368,1.1,0.4,.533,0.2,42,6-4,,2.4,-0.15,1.1
6.3,.426,2.7,2.2,.650,1.4,116,6-5,2.2,7.4,3.06,3.3
0.4,.429,0.2,0.4,.471,0.2,48,5-10,0.3,0.6,9.68,0.3
2.4,.227,0.6,0.2,.000,0.0,9,6-9,1.1,1.1,-1.26,0.3
6.9,.424,2.9,1.5,.756,1.1,52,6-5,1.2,7.0,1.22,3.1
3.6,.351,1.3,1.0,.603,0.6,61,5-9,1.4,3.9,0.28,1.5
1.1,.550,0.6,0.6,.417,0.3,19,6-5,0.5,1.4,-8.92,0.7
0.6,.400,0.2,0.4,.750,0.3,33,6-5,0.8,0.8,-3.31,0.7
6.9,.434,3.0,1.7,.628,1.1,56,6-9,2.8,7.0,5.32,5.4
4.1,.388,1.6,0.6,.723,0.5,73,6-8,1.6,4.7,-2.64,2.8
4.5,.444,2.0,0.0,,0.0,2,6-5,,4.5,-5.71,4.0
2.5,.556,1.4,1.7,.632,1.1,11,6-11,2.5,3.8,-6.52,2.4
1.8,.313,0.6,0.4,.714,0.3,35,6-6,0.5,1.8,1.34,0.9
4.8,.725,3.5,2.5,.766,1.9,50,6-2,2.0,8.9,-10.47,1.7
2.4,.220,0.5,0.8,.541,0.4,45,5-11,0.8,1.5,-6.09,1.1
5.9,.394,2.3,3.0,.723,2.2,62,6-5,2.6,7.3,-1.66,3.3
5.2,.575,3.0,2.8,.637,1.8,32,6-4,2.6,7.9,-7.96,4.3
1.0,.000,0.0,0.0,,0.0,1,6-5,,0.0,4.12,0.0
8.9,.513,4.6,1.6,.700,1.1,75,6-4,2.0,10.3,2.07,1.7
