fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
11.4,.459,5.2,2.7,.713,1.9,118,6-8,1.5,13.8,11.40,4.1
8.4,.418,3.5,2.8,.728,2.1,44,6-7,2.0,10.3,8.11,6.5
0.0,,0.0,0.0,,0.0,1,6-1,1.0,0.0,0.99,0.0
4.7,.414,2.0,0.6,.667,0.4,42,6-4,1.4,4.3,2.54,1.5
2.0,.327,0.6,0.8,.489,0.4,53,6-3,,2.0,6.79,0.8
0.5,.400,0.2,0.7,.658,0.4,56,6-2,,0.9,3.57,0.6
5.3,.645,3.4,2.7,.646,1.8,59,6-10,3.4,8.6,-4.94,5.5
0.1,.000,0.0,0.6,.500,0.3,7,6-0,0.7,0.3,0.24,0.3
3.3,.439,1.5,0.9,.624,0.6,124,6-6,1.2,3.6,4.11,1.9
11.6,.423,4.9,2.7,.719,2.0,117,6-5,0.6,13.6,1.25,4.2
4.7,.423,2.0,3.8,.634,2.4,60,6-0,,6.9,0.42,2.4
7.9,.470,3.7,3.1,.767,2.4,47,6-2,1.3,10.5,0.17,1.5
3.7,.403,1.5,0.8,.542,0.4,89,6-7,1.3,3.4,5.37,1.9
4.4,.481,2.1,1.2,.639,0.8,49,6-9,1.9,5.0,-0.81,5.0
1.9,.459,0.9,0.8,.414,0.3,38,6-10,0.6,2.1,-6.17,2.3
1.4,.376,0.5,0.4,.750,0.3,67,5-8,1.0,1.6,-2.27,0.6
10.7,.387,4.1,2.9,.623,1.8,42,6-5,,11.5,-10.23,4.0
1.4,.364,0.5,0.8,.667,0.5,16,6-5,,1.5,-13.08,1.1
2.9,.473,1.4,0.6,.750,0.5,31,6-4,1.5,3.9,-0.78,1.7
0.7,.550,0.4,0.4,.400,0.1,27,6-4,1.0,1.0,9.70,0.9
0.6,.250,0.1,0.4,.600,0.2,14,,0.5,0.5,-2.35,0.6
3.0,.394,1.2,1.1,.568,0.6,70,6-3,,3.0,-9.35,2.8
8.4,.471,4.0,1.9,.596,1.1,27,6-1,1.4,9.1,-1.12,1.8
3.8,.559,2.1,2.0,.638,1.3,72,6-8,2.6,5.5,-0.72,3.9
11.3,.418,4.7,3.7,.687,2.5,63,6-2,2.6,13.3,-5.14,4.1
1.0,.000,0.0,2.0,.000,0.0,1,,0.0,0.0,-10.64,1.0
7.7,.453,3.5,3.8,.765,2.9,36,6-4,1.9,11.4,2.75,3.7
2.1,.460,1.0,0.9,.807,0.8,61,6-3,1.4,2.9,-6.08,1.7
0.2,.000,0.0,0.0,,0.0,5,6-6,0.2,0.0,3.75,0.4
5.9,.446,2.6,1.3,.615,0.8,52,6-7,1.9,6.0,-0.35,4.4
5.6,.508,2.9,1.8,.349,0.6,120,6-5,1.8,6.4,5.32,4.8
3.5,.578,2.0,2.0,.558,1.1,53,6-8,2.0,5.2,-2.98,4.6
0.6,.538,0.3,0.6,.500,0.3,45,6-6,1.1,0.9,-3.99,1.5
4.8,.345,1.7,2.2,.692,1.5,6,6-0,0.8,5.3,-0.60,1.7
1.9,.432,0.8,0.9,.473,0.4,60,6-0,1.1,2.0,1.49,0.7
2.5,.429,1.1,0.5,.600,0.3,39,6-11,1.3,2.5,-5.62,2.3
1.0,1.000,1.0,0.0,,0.0,2,6-10,0.5,2.0,5.47,2.0
13.0,.382,5.0,4.2,.641,2.7,47,6-5,,13.4,-0.33,5.6
11.0,.415,4.5,2.5,.851,2.1,117,6-1,1.6,13.2,-6.74,3.8
8.9,.508,4.5,1.8,.538,1.0,36,6-10,2.2,10.0,6.07,4.8
11.3,.492,5.5,2.4,.667,1.6,63,6-2,2.3,12.7,-1.03,6.2
5.4,.469,2.5,3.9,.553,2.1,124,6-6,2.8,7.2,-7.00,5.0
5.7,.365,2.1,1.4,.560,0.8,37,6-2,,5.9,-4.46,2.6
10.0,.365,3.7,2.3,.693,1.6,60,6-3,2.2,10.9,-8.27,3.7
4.2,.495,2.1,2.1,.608,1.3,68,6-5,1.9,5.5,4.03,3.3
11.1,.490,5.5,5.5,.635,3.5,48,6-5,2.8,14.4,-0.06,8.8
10.9,.387,4.2,2.6,.632,1.7,77,6-5,2.3,10.1,-2.41,8.3
2.0,.395,0.8,0.4,.650,0.2,57,6-4,1.1,1.9,-2.99,2.7
1.5,.393,0.6,0.6,.417,0.2,42,5-10,0.6,1.4,-0.62,
5.9,.459,2.7,2.5,.693,1.7,121,5-9,2.2,7.3,8.18,2.9
17.3,.588,10.2,7.4,.826,6.1,56,6-6,,26.4,-8.79,6.4
1.0,.500,0.5,0.2,.000,0.0,10,5-11,0.8,1.0,-3.18,0.3
0.9,.423,0.4,0.2,.571,0.1,29,6-8,1.0,0.9,6.04,0.7
5.9,.390,2.3,1.5,.780,1.1,128,6-4,2.0,7.5,6.32,2.3
3.1,.586,1.8,2.7,.712,1.9,54,6-1,0.9,5.6,-9.44,2.5
11.3,.409,4.6,4.2,.836,3.5,121,5-8,1.9,14.7,-0.47,2.4
8.1,.417,3.4,3.2,.774,2.5,125,6-2,2.6,10.4,1.33,2.8
6.3,.457,2.9,1.6,.576,0.9,105,6-5,2.4,7.6,8.04,3.0
11.1,.461,5.1,4.7,.849,4.0,126,6-7,1.8,15.6,6.96,5.9
8.5,.523,4.5,3.1,.553,1.7,118,6-8,3.5,10.6,2.61,7.9
2.9,.328,1.0,0.4,.667,0.3,21,6-3,0.8,2.2,-3.29,1.3
1.5,.667,1.0,0.5,1.000,0.5,2,,,3.0,-4.95,1.0
6.8,.386,2.6,1.4,.802,1.1,66,6-6,3.0,7.6,-6.97,3.3
15.1,.400,6.1,2.7,.615,1.6,67,6-2,2.1,13.8,5.80,4.1
3.2,.363,1.2,1.0,.625,0.6,25,6-5,1.6,3.7,1.35,2.0
9.4,.475,4.5,4.9,.709,3.4,85,6-10,1.9,12.5,8.06,7.4
4.4,.459,2.0,3.2,.844,2.7,85,6-1,1.6,7.9,5.31,2.3
3.3,.506,1.7,1.2,.552,0.7,49,6-9,2.4,4.0,-0.69,2.9
3.1,.375,1.2,1.2,.438,0.5,26,6-6,1.2,2.9,-10.29,2.4
2.0,.480,1.0,1.5,.394,0.6,62,6-8,2.2,2.5,4.42,5.5
1.2,.340,0.4,0.1,.400,0.1,39,6-1,0.4,1.2,-3.09,0.5
