fgapg,fgpct,fgpg,ftapg,ftpct,ftpg,games,height,pfpg,ptspg,sospg,trbpg
0.8,.288,0.2,0.2,.688,0.1,88,6-1,0.2,0.7,8.34,0.3
0.9,.222,0.2,0.4,.875,0.3,21,6-4,0.3,0.7,0.51,0.5
3.1,.407,1.3,0.8,.485,0.4,120,6-8,,3.5,-0.29,2.2
0.4,.000,0.0,0.2,.500,0.1,9,6-3,0.8,0.1,5.68,1.1
1.6,.426,0.7,0.4,.680,0.3,57,6-8,0.6,1.7,6.99,1.5
1.0,.000,0.0,0.0,,0.0,1,6-3,0.0,0.0,-4.29,0.0
3.7,.254,0.9,1.9,.400,0.8,16,5-8,0.7,2.6,-1.98,1.0
1.9,.383,0.7,0.8,.577,0.5,62,6-1,1.0,2.0,-3.89,0.8
0.2,1.000,0.2,0.8,.400,0.3,6,5-10,0.2,0.7,5.21,
4.0,.563,2.3,1.6,.480,0.8,16,,3.1,5.3,2.81,2.6
3.0,.545,1.6,1.8,.677,1.2,51,6-5,,4.5,-1.49,2.9
,,1.2,4.4,.673,3.0,25,6-2,3.1,5.4,,
11.6,.556,6.4,4.0,.741,2.9,120,6-7,2.2,15.9,-2.36,5.8
0.5,.000,0.0,0.7,1.000,0.7,6,,0.0,0.7,-2.17,0.5
7.5,.349,2.6,5.1,.693,3.5,66,6-4,2.9,8.8,-2.08,6.8
1.2,.415,0.5,0.4,.643,0.3,34,5-10,0.4,1.4,7.90,0.6
15.2,.499,7.6,7.4,.641,4.8,70,6-1,2.9,19.9,2.52,5.5
4.7,.584,2.8,2.2,.601,1.3,75,6-7,2.4,6.9,-3.90,3.9
3.3,.449,1.5,0.5,.644,0.3,122,6-8,2.2,3.6,7.82,2.1
5.9,.442,2.6,2.2,.449,1.0,22,6-7,2.3,6.2,1.72,4.3
0.0,,0.0,0.0,,0.0,3,7-0,0.3,0.0,-0.76,0.7
1.1,.333,0.4,0.6,.400,0.3,16,6-1,0.4,1.0,3.34,0.7
1.7,.100,0.2,0.3,1.000,0.3,6,6-5,0.7,0.7,-4.83,0.2
7.7,.557,4.3,4.8,.512,2.4,62,,2.3,11.0,6.16,9.8
7.1,.423,3.0,3.4,.625,2.1,82,,3.2,8.2,6.79,5.0
2.9,.500,1.4,1.7,.630,1.0,81,6-7,0.8,3.9,-0.33,3.5
4.8,.512,2.4,2.5,.675,1.7,110,6-6,0.5,6.8,-1.02,3.4
1.8,.300,0.5,0.6,.700,0.4,17,6-8,0.9,1.6,-5.54,0.9
1.5,.500,0.7,1.2,.610,0.8,33,,1.5,2.2,3.52,2.5
2.0,.500,1.0,0.0,,0.0,1,,0.0,2.0,-5.54,0.0
4.5,.389,1.8,3.1,.635,2.0,143,6-0,2.6,5.8,3.32,3.4
1.5,.536,0.8,1.2,.642,0.7,94,6-10,2.4,2.4,8.28,3.2
3.3,.428,1.4,0.7,.515,0.4,132,6-4,2.0,3.8,-6.12,3.0
8.0,.535,4.3,3.4,.650,2.2,101,6-8,1.7,10.7,-3.50,6.1
4.3,.370,1.6,0.5,.800,0.4,28,6-1,1.4,4.3,-7.63,1.4
11.1,.406,4.5,2.5,.721,1.8,126,6-2,2.1,12.7,-4.23,3.0
3.6,.505,1.8,1.7,.601,1.0,112,6-8,,4.7,-11.03,3.3
3.7,.363,1.4,1.0,.800,0.8,92,6-4,0.9,4.6,5.28,0.6
6.2,.446,2.7,1.9,.818,1.5,71,6-2,1.6,8.1,-1.65,2.2
3.4,.441,1.5,3.3,.708,2.3,20,5-10,2.2,5.3,-4.40,2.5
1.7,.450,0.8,1.3,.688,0.9,12,6-6,0.9,2.3,,1.2
4.6,.439,2.0,1.6,.667,1.1,41,6-2,0.6,5.1,-7.67,1.7
0.7,.389,0.3,0.3,.667,0.2,26,5-11,,0.8,1.22,0.6
9.7,.405,3.9,2.8,.752,2.1,54,6-3,,11.4,1.65,4.0
0.4,.600,0.2,0.8,.500,0.4,13,5-11,,0.8,-6.46,0.2
7.5,.487,3.6,5.5,.780,4.3,52,6-6,1.8,11.7,0.17,7.0
4.7,.368,1.7,1.2,.788,0.9,55,6-2,1.0,5.7,-1.17,1.5
20.0,.505,10.1,4.7,.774,3.6,50,6-5,2.5,23.9,4.32,3.5
1.5,.316,0.5,0.3,.800,0.2,50,6-4,0.6,1.5,-10.43,0.6
1.3,.552,0.7,0.3,.500,0.1,22,6-4,1.3,1.6,-2.86,1.0
1.8,.446,0.8,0.6,.694,0.4,57,6-7,1.1,2.3,1.13,1.7
,,0.0,0.0,,0.0,2,6-4,0.5,0.0,,
6.3,.433,2.7,2.8,.766,2.2,70,6-0,1.2,7.6,-3.37,2.4
4.6,.505,2.3,2.7,.669,1.8,61,6-4,2.4,6.6,-3.62,4.7
3.6,.359,1.3,0.8,.710,0.6,87,6-9,1.6,3.7,-3.67,4.1
3.6,.512,1.8,1.2,.586,0.7,24,6-7,1.4,4.4,2.89,2.8
2.6,.462,1.2,2.2,.091,0.2,5,6-7,1.0,2.6,-10.34,3.8
4.4,.363,1.6,1.7,.472,0.8,31,6-5,1.8,4.2,-6.27,2.8
5.5,.457,2.5,1.1,.470,0.5,105,6-3,2.1,6.0,-4.65,2.6
10.7,.395,4.2,4.9,.634,3.1,89,6-3,2.0,11.5,0.52,11.4
6.3,.512,3.3,1.4,1.159,1.6,83,6-0,1.7,8.1,5.18,5.5
0.6,.143,0.1,0.3,.333,0.1,11,,0.9,0.3,-2.19,0.8
4.0,.190,0.8,2.2,.581,1.3,20,6-6,1.0,2.8,-4.46,1.9
20.9,.427,8.9,2.8,.704,2.0,19,6-2,2.7,19.9,-2.03,3.6
4.8,.316,1.5,0.8,.667,0.5,4,6-2,0.3,3.5,6.26,2.0
10.0,.609,6.1,4.1,.736,3.0,92,6-8,1.8,15.1,8.74,6.9
6.4,.467,3.0,3.2,.671,2.2,47,6-6,1.9,8.2,-0.98,3.6
7.0,.377,2.6,1.3,.791,1.1,32,6-4,1.2,7.3,-5.63,4.0
6.7,.388,2.6,0.8,.833,0.7,73,6-3,1.1,7.4,1.43,1.9
5.2,.258,1.3,1.0,.500,0.5,6,,1.2,3.8,-8.68,1.7
0.9,.525,0.5,0.2,.636,0.2,46,6-1,0.8,1.4,-2.97,0.8
6.2,.413,2.5,1.1,.714,0.8,13,6-4,1.4,7.5,-4.05,2.4
5.5,.558,3.0,3.7,.691,2.5,114,6-7,1.6,8.6,1.06,5.2
7.4,.423,3.1,0.8,.793,0.6,101,6-3,0.7,7.9,-0.79,1.4
1.3,.417,0.6,1.6,.571,0.9,9,,0.8,2.0,,1.6
1.3,.250,0.3,0.7,.167,0.1,9,,1.1,0.8,0.82,1.3
6.9,.432,3.0,2.0,.813,1.6,63,6-3,1.2,7.5,5.96,2.5
,,,,,,,,,,-9.81,
,,1.7,,,0.7,23,,2.4,4.2,,
1.1,.392,0.4,0.6,.659,0.4,69,6-9,1.0,1.3,-4.59,1.4
1.6,.500,0.8,0.3,.333,0.1,10,6-1,0.4,1.7,2.20,0.4
11.4,.492,5.6,1.6,.645,1.1,57,6-3,1.1,12.3,-0.26,1.9
6.2,.451,2.8,1.5,.797,1.2,80,6-2,2.0,6.8,6.31,1.3
5.1,.519,2.7,1.1,.813,0.9,15,6-2,0.5,6.2,2.43,1.3
0.3,.500,0.2,0.3,.000,0.0,6,6-5,0.3,0.3,-0.77,0.2
0.4,.333,0.1,0.1,.000,0.0,14,6-0,0.1,0.3,5.41,0.4
0.2,.500,0.1,0.0,,0.0,10,6-4,0.1,0.3,4.37,0.1
0.1,1.000,0.1,0.1,.000,0.0,8,6-5,0.3,0.3,4.97,0.4
2.7,.303,0.8,0.7,.622,0.4,53,6-3,0.5,2.4,-2.00,1.5
2.9,.427,1.2,0.6,.596,0.3,81,,1.5,2.9,6.19,1.0
0.0,,0.0,0.0,,0.0,2,,0.5,0.0,-6.12,0.0
10.8,.559,6.0,6.1,.651,4.0,112,6-9,,16.0,-9.76,10.6
7.3,.381,2.8,1.0,.640,0.6,26,6-2,2.1,6.2,4.20,4.7
5.7,.448,2.6,1.9,.750,1.4,74,6-0,2.0,8.5,1.05,2.8
3.2,.375,1.2,0.8,.750,0.6,5,,0.6,3.0,1.47,1.4
0.7,.200,0.1,0.6,.500,0.3,7,6-1,1.0,0.7,5.28,0.4
1.0,.500,0.5,0.5,.500,0.3,4,6-4,1.5,1.3,-6.58,0.8
8.0,.667,5.4,3.7,.801,2.9,37,5-10,3.0,13.6,0.32,
15.7,.406,6.4,5.0,.767,3.8,45,,2.6,16.5,1.01,7.5
6.1,.395,2.4,2.1,.751,1.5,96,6-0,1.5,7.2,2.00,2.0
3.5,.357,1.3,0.0,,0.0,4,6-6,1.3,2.8,-2.65,1.3
0.0,,0.0,0.0,,0.0,1,,0.0,0.0,-0.82,0.0
4.9,.452,2.2,1.4,.625,0.9,17,,1.3,5.4,-7.36,1.4
0.7,.733,0.5,0.4,.444,0.2,21,6-6,0.3,1.2,-2.05,1.1
0.3,1.000,0.3,0.0,,0.0,4,5-10,0.3,0.5,3.43,0.5
6.0,.453,2.7,2.4,.603,1.5,96,6-6,0.6,7.2,-8.55,4.4
4.3,.435,1.9,2.2,.628,1.4,56,6-7,1.6,5.1,-8.87,3.9
4.1,.394,1.6,1.0,.500,0.5,16,,2.2,3.8,0.94,
1.9,.304,0.6,0.8,.778,0.6,12,5-11,1.6,2.2,-1.47,1.4
6.6,.332,2.2,2.2,.782,1.7,113,5-9,2.7,7.3,5.96,3.0
1.2,.167,0.2,0.2,1.000,0.2,5,6-3,0.2,0.6,4.32,0.8
5.3,.431,2.3,1.0,.730,0.7,90,6-2,1.3,6.6,-3.92,1.5
12.3,.326,4.0,3.7,.681,2.5,96,6-1,3.2,10.5,0.67,4.7
11.2,.413,4.6,2.8,.658,1.8,58,6-1,2.9,12.8,2.19,3.0
9.0,.474,4.3,2.4,.808,1.9,55,6-1,1.5,10.5,2.18,1.3
5.5,.478,2.6,1.6,.689,1.1,66,6-10,1.7,7.0,-0.67,3.6
10.8,.397,4.3,2.9,.699,2.0,29,6-1,1.9,12.5,6.98,4.0
2.3,.321,0.8,0.7,.813,0.5,24,6-4,1.0,2.5,-9.02,0.4
7.0,.477,3.3,2.4,.623,1.5,47,6-7,1.8,8.1,-3.94,3.9
5.7,.392,2.2,1.7,.686,1.2,136,6-7,2.1,6.8,8.77,4.2
7.4,.384,2.9,1.7,.707,1.2,55,6-2,1.1,8.5,-6.14,2.4
10.4,.531,5.5,2.7,.793,2.1,75,5-8,2.0,13.2,6.20,2.6
7.4,.539,4.0,3.0,.514,1.5,24,6-11,3.0,9.5,-7.20,11.6
1.0,.000,0.0,0.0,,0.0,1,6-5,0.0,0.0,-6.69,0.0
8.9,.441,3.9,3.6,.661,2.4,71,6-0,1.3,10.3,-0.90,2.7
1.8,.357,0.6,0.6,.600,0.4,8,6-3,0.6,1.6,-0.30,0.4
2.2,.385,0.8,0.7,.595,0.4,56,6-2,1.7,2.3,-12.48,1.1
4.5,.434,1.9,1.6,.756,1.2,125,6-0,2.0,5.6,-1.93,1.7
0.2,.000,0.0,0.4,.000,0.0,5,6-0,0.0,0.0,8.64,0.0
1.6,.571,0.9,0.4,.250,0.1,9,6-5,1.6,1.9,4.76,3.4
3.3,.524,1.7,1.4,.722,1.0,52,6-6,1.5,4.4,1.55,2.4
